GTD ID,DATE,COUNTRY,CITY,PERPETRATOR 1,GUNCERTAIN 1,PERPETRATOR 2,GUNCERTAIN 2,PERPETRATOR 3,GUNCERTAIN 3,FATALITIES,INJURED,TARGET TYPE 1,TARGET TYPE 2,TARGET TYPE 3,REGION,ATTACK TYPE 1,ATTACK TYPE 2,ATTACK TYPE 3,WEAPON TYPE 1,WEAPON TYPE 2,WEAPON TYPE 3,WEAPON TYPE 4
197312310006,1973-12-31,"United Kingdom","Belfast","Irish Republican Army (IRA)",0,,,,,1,Unknown,Military,,,Western Europe,Assassination,,,Firearms,,,
197312310005,1973-12-31,"Italy","Rome","Armed Proletarian Nuclei (NAP)",0,,,,,0,0,Business,,,Western Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
197312310004,1973-12-31,"Switzerland","Zurich","Iberian Liberation Movement (MIL)",0,,,,,0,0,Government (General),,,Western Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
197312310003,1973-12-31,"Spain","Barcelona","Unknown",0,,,,,0,0,Government (General),,,Western Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
197312310002,1973-12-31,"Italy","Turin","Unknown",0,,,,,0,0,Government (Diplomatic),,,Western Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
197312310001,1973-12-31,"United Kingdom","London","Popular Front for the Liberation of Palestine (PFLP)",0,,,,,0,1,Private Citizens & Property,,,Western Europe,Assassination,,,Firearms,,,
197312300001,1973-12-30,"United States","Miami","National Front for the Liberation of Cuba (FLNC)",0,,,,,0,0,Maritime,,,North America,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
197312290001,1973-12-29,"United Kingdom","Belfast","Ulster Freedom Fighters (UFF)",0,,,,,1,Unknown,Police,,,Western Europe,Assassination,,,Firearms,,,
197312280003,1973-12-28,"West Germany (FRG)","Frankfurt","Baader-Meinhof Group",0,,,,,Unknown,Unknown,Business,,,Western Europe,Armed Assault,,,Firearms,,,
197312280001,1973-12-28,"Argentina","Buenos Aires","Unknown",0,,,,,0,0,Business,,,South America,Hostage Taking (Kidnapping),,,Unknown,,,
197312260002,1973-12-26,"United Kingdom","Lisburn","Protestant Extremists",0,,,,,1,Unknown,Terrorists/Non-state Militia,,,Western Europe,Assassination,,,Melee,,,
197312260001,1973-12-26,"West Germany (FRG)","West Berlin","Revolutionary Peoples Army",0,,,,,0,0,Business,,,Western Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
197312230001,1973-12-23,"United States","San Francisco","Zebra killers",0,,,,,1,0,Private Citizens & Property,,,North America,Hostage Taking (Kidnapping),Armed Assault,,Melee,Melee,Melee,
