GTD ID,DATE,COUNTRY,CITY,PERPETRATOR 1,GUNCERTAIN 1,PERPETRATOR 2,GUNCERTAIN 2,PERPETRATOR 3,GUNCERTAIN 3,FATALITIES,INJURED,TARGET TYPE 1,TARGET TYPE 2,TARGET TYPE 3,REGION,ATTACK TYPE 1,ATTACK TYPE 2,ATTACK TYPE 3,WEAPON TYPE 1,WEAPON TYPE 2,WEAPON TYPE 3,WEAPON TYPE 4
199512310004,1995-12-31,"Egypt","Abu Qurqas","Al-Gama'at al-Islamiyya (IG)",0,,,,,3,8,Police,,,Middle East & North Africa,Armed Assault,,,Firearms,,,
199512310003,1995-12-31,"France","Ajaccio","Unknown",0,,,,,0,0,Business,,,Western Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199512310002,1995-12-31,"France","Ajaccio","Unknown",0,,,,,0,0,Business,,,Western Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199512310001,1995-12-31,"Algeria","Constantine","Armed Islamic Group (GIA)",0,,,,,1,0,Religious Figures/Institutions,,,Middle East & North Africa,Assassination,,,Unknown,,,
199512300018,1995-12-30,"France","Propriano","Unknown",0,,,,,0,0,Government (General),,,Western Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199512300017,1995-12-30,"France","Ajaccio","Unknown",0,,,,,0,0,Government (General),,,Western Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199512300016,1995-12-30,"France","Porto-Vecchio","Unknown",0,,,,,0,0,Business,,,Western Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199512300010,1995-12-30,"France","Paris","Unknown",0,,,,,0,0,Business,,,Western Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199512300009,1995-12-30,"France","Ventiseri","Unknown",0,,,,,0,0,Government (General),,,Western Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199512300008,1995-12-30,"Bangladesh","Dhaka","Opposition Group",0,,,,,0,10,Transportation,,,South Asia,Facility/Infrastructure Attack,,,Unknown,,,
199512300007,1995-12-30,"Sri Lanka","Batticaloa district","Liberation Tigers of Tamil Eelam (LTTE)",0,,,,,1,2,Unknown,,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199512290016,1995-12-29,"Kenya","Nairobi","Unknown",0,,,,,0,1,Government (General),,,Sub-Saharan Africa,Assassination,,,Firearms,,,
199512290015,1995-12-29,"Guatemala","Guatemala City","Unknown",0,1,0,Government (General),Central America & Caribbean,,,,Assassination,Firearms
199512290014,1995-12-29,"France","Ajaccio","Unknown",0,,,,,0,0,Business,,,Western Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199512290013,1995-12-29,"France","Ajaccio","Unknown",0,,,,,0,0,Business,,,Western Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199512290012,1995-12-29,"Colombia","Corinto district","Revolutionary Armed Forces of Colombia (FARC)",0,,,,,0,1,Police,,,South America,Unknown,,,Unknown,,,
199512290010,1995-12-29,"Russia","Grozny","Unknown",0,,,,,1,0,Police,,,Eastern Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199512290009,1995-12-29,"Russia","Shali","Unknown",0,,,,,1,0,NGO,,,Eastern Europe,Assassination,,,Unknown,,,
199512290003,1995-12-29,"Pakistan","Karachi","Muttahida Qami Movement (MQM)",0,,,,,1,0,Police,,,South Asia,Armed Assault,,,Firearms,,,
199512290002,1995-12-29,"Pakistan","Karachi","Muttahida Qami Movement (MQM)",0,,,,,1,0,Police,,,South Asia,Armed Assault,,,Firearms,,,
199512290001,1995-12-29,"Pakistan","Karachi","Muttahida Qami Movement (MQM)",0,,,,,1,0,Police,,,South Asia,Armed Assault,,,Firearms,,,
199512280006,1995-12-28,"Egypt","Abu Qurqas","Al-Gama'at al-Islamiyya (IG)",0,,,,,1,1,Business,,,Middle East & North Africa,Armed Assault,,,Firearms,,,
199512280005,1995-12-28,"Colombia","Achi district","Revolutionary Armed Forces of Colombia (FARC)",0,,,,,16,11,Police,,,South America,Unknown,,,Unknown,,,
199512280004,1995-12-28,"Burundi","Muruta","Unknown",0,,,,,1,1,Government (General),,,Sub-Saharan Africa,Assassination,,,Firearms,Explosives/Bombs/Dynamite,,
199512280003,1995-12-28,"Sri Lanka","Batticaloa District","Liberation Tigers of Tamil Eelam (LTTE)",0,,,,,0,0,Military,,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199512280002,1995-12-28,"Sri Lanka","Batticaloa District","Liberation Tigers of Tamil Eelam (LTTE)",0,,,,,0,0,Military,,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199512280001,1995-12-28,"Philippines","Gapas","Unknown",0,,,,,14,0,Private Citizens & Property,,,Southeast Asia,Armed Assault,,,Firearms,,,
199512270009,1995-12-27,"United Kingdom","Belfast","Direct Action Against Drugs (DADD)",0,,,,,1,Unknown,Private Citizens & Property,,,Western Europe,Assassination,,,Firearms,,,
199512270008,1995-12-27,"Macau","Taipa","Unknown",0,,,,,0,0,Business,,,East Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199512270007,1995-12-27,"Guatemala","Ciudad Tecun Uman","Unknown",0,,,,,0,2,Private Citizens & Property,,,Central America & Caribbean,Assassination,,,Firearms,,,
199512270006,1995-12-27,"Thailand","Mae Sot","Democratic Karen Buddhist Army (DKBA)",0,,,,,1,1,Private Citizens & Property,,,Southeast Asia,Armed Assault,,,Firearms,,,
199512270005,1995-12-27,"Sri Lanka","Chenkaladi","Liberation Tigers of Tamil Eelam (LTTE)",0,,,,,1,0,Violent Political Party,,,South Asia,Assassination,,,Firearms,,,
199512270004,1995-12-27,"Sri Lanka","Batticaloa district","Liberation Tigers of Tamil Eelam (LTTE)",0,,,,,0,1,Violent Political Party,,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199512270003,1995-12-27,"Sri Lanka","Puttur","Liberation Tigers of Tamil Eelam (LTTE)",0,,,,,15,0,Military,,,South Asia,Armed Assault,,,Firearms,,,
199512270002,1995-12-27,"Philippines","Cebu City","Abu Sayyaf Group (ASG)",0,,,,,0,0,Private Citizens & Property,,,Southeast Asia,Hostage Taking (Kidnapping),,,Firearms,,,
199512270001,1995-12-27,"Philippines","Manila","Alex Boncayao Brigade (ABB)",0,,,,,1,1,Police,,,Southeast Asia,Armed Assault,,,Firearms,,,
199512260108,1995-12-26,"Colombia","Une","Left-Wing Guerrillas",0,,,,,4,4,Police,,,South America,Unknown,,,Unknown,,,
199512260007,1995-12-26,"Bangladesh","Rabarkona","Shanti Bahini - Peace Force",0,,,,,0,49,Police,,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199512260006,1995-12-26,"Algeria","Unknown","Armed Islamic Group (GIA)",0,,,,,1,0,Government (General),,,Middle East & North Africa,Assassination,,,Melee,,,
199512260005,1995-12-26,"Algeria","Algiers","Armed Islamic Group (GIA)",0,,,,,3,0,Business,,,Middle East & North Africa,Hostage Taking (Kidnapping),,,Firearms,,,
199512260004,1995-12-26,"United Arab Emirates","Asmara","Unknown",0,,,,,0,0,Airports and Aircraft,,,Middle East & North Africa,Hijacking,,,Melee,,,
199512260003,1995-12-26,"Sri Lanka","Trincomalee","Liberation Tigers of Tamil Eelam (LTTE)",0,,,,,1,0,Private Citizens & Property,,,South Asia,Assassination,,,Firearms,,,
