GTD ID,DATE,COUNTRY,CITY,PERPETRATOR 1,GUNCERTAIN 1,PERPETRATOR 2,GUNCERTAIN 2,PERPETRATOR 3,GUNCERTAIN 3,FATALITIES,INJURED,TARGET TYPE 1,TARGET TYPE 2,TARGET TYPE 3,REGION,ATTACK TYPE 1,ATTACK TYPE 2,ATTACK TYPE 3,WEAPON TYPE 1,WEAPON TYPE 2,WEAPON TYPE 3,WEAPON TYPE 4
200912310006,2009-12-31,"Algeria","El Hadj Tifrit Do Ath","Unknown",0,,,,,0,4,Military,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
200912310003,2009-12-31,"Pakistan","Mohmand district","Unknown",0,,,,,0,0,Educational Institution,,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
200912310001,2009-12-31,"Algeria","Sidi El Bashir","Unknown",0,0,0,Transportation,Middle East & North Africa,,,,Bombing/Explosion,Explosives/Bombs/Dynamite
200912300014,2009-12-30,"Afghanistan","Khost","Haqqani Network",1,"Tehrik-i-Taliban Pakistan (TTP)",1,,,10,6,Government (General),,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
200912300013,2009-12-30,"Afghanistan","Tagab district","Taliban",1,,,,,0,0,Journalists & Media,,,South Asia,Hostage Taking (Kidnapping),,,Firearms,,,
200912300012,2009-12-30,"Afghanistan","Musa Qala district","Unknown",0,,,,,0,11,Business,,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
200912300009,2009-12-30,"Thailand","Panareh","Unknown",0,,,,,2,3,Educational Institution,,,Southeast Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
200912300008,2009-12-30,"Thailand","","Unknown",0,,,,,1,2,Government (General),,,Southeast Asia,Armed Assault,,,Firearms,,,
200912300007,2009-12-30,"Thailand","","Unknown",0,,,,,1,0,Private Citizens & Property,,,Southeast Asia,Armed Assault,,,Firearms,,,
200912300005,2009-12-30,"Niger","Telemses","Al-Qaida in the Islamic Maghreb (AQIM)",1,,,,,4,0,Private Citizens & Property,,,Sub-Saharan Africa,Unknown,,,Unknown,,,
200912300003,2009-12-30,"Iraq","Khalis","Unknown",0,,,,,7,28,Private Citizens & Property,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
200912300002,2009-12-30,"Iraq","Baghdad","Supreme Command for Jihad and Liberation",1,,,,,0,3,Government (General),,,Middle East & North Africa,Assassination,,,Firearms,,,
200912300001,2009-12-30,"Iraq","Ramadi","Islamic State of Iraq (ISI)",1,,,,,23,57,Military,Government (General),,Middle East & North Africa,Assassination,,,Explosives/Bombs/Dynamite,,,
200912290014,2009-12-29,"Iraq","Baghdad","Unknown",0,,,,,0,4,Private Citizens & Property,Journalists & Media,Private Citizens & Property,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
200912290013,2009-12-29,"Iraq","Baghdad","Unknown",0,,,,,0,2,Private Citizens & Property,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
200912290012,2009-12-29,"Iraq","Baghdad","Unknown",0,,,,,0,4,Government (General),,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
200912290010,2009-12-29,"Iraq","Fallujah","Unknown",0,,,,,0,0,Educational Institution,,,Middle East & North Africa,Hostage Taking (Kidnapping),,,Unknown,,,
200912290007,2009-12-29,"Thailand","","Unknown",0,,,,,1,0,Private Citizens & Property,,,Southeast Asia,Armed Assault,,,Firearms,,,
200912290003,2009-12-29,"Pakistan","Quetta","Unknown",0,,,,,0,0,Educational Institution,,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
200912280015,2009-12-28,"India","Komanapalli","Communist Party of India - Maoist (CPI-Maoist)",1,,,,,2,3,Government (General),,,South Asia,Assassination,,,Firearms,,,
200912280014,2009-12-28,"Pakistan","Karachi","Tehrik-i-Taliban Pakistan (TTP)",1,,,,,45,100,Private Citizens & Property,,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
200912280013,2009-12-28,"Pakistan","Shabqadar district","Tehrik-i-Taliban Pakistan (TTP)",1,,,,,0,0,Educational Institution,,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
200912280010,2009-12-28,"Pakistan","Landi Kotal","Unknown",0,,,,,0,0,Business,,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
200912280009,2009-12-28,"Colombia","San Antonio","Revolutionary Armed Forces of Colombia (FARC)",1,,,,,0,0,Government (General),,,South America,Hostage Taking (Kidnapping),,,Unknown,,,
200912280005,2009-12-28,"Niger","Djaballa","Unknown",0,,,,,3,3,Private Citizens & Property,,,Sub-Saharan Africa,Unknown,,,Unknown,,,
