GTD ID,DATE,COUNTRY,CITY,PERPETRATOR 1,GUNCERTAIN 1,PERPETRATOR 2,GUNCERTAIN 2,PERPETRATOR 3,GUNCERTAIN 3,FATALITIES,INJURED,TARGET TYPE 1,TARGET TYPE 2,TARGET TYPE 3,REGION,ATTACK TYPE 1,ATTACK TYPE 2,ATTACK TYPE 3,WEAPON TYPE 1,WEAPON TYPE 2,WEAPON TYPE 3,WEAPON TYPE 4
199012310006,1990-12-31,"Israel","Jerusalem","Palestinians",0,1,0,Private Citizens & Property,Middle East & North Africa,,,,Bombing/Explosion,Explosives/Bombs/Dynamite
199012310005,1990-12-31,"Spain","Vitoria","Basque Fatherland and Freedom (ETA)",0,,,,,0,0,Business,,,Western Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199012310004,1990-12-31,"Colombia","Cartagena district","Revolutionary Armed Forces of Colombia (FARC)",0,,,,,0,0,Utilities,,,South America,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199012310003,1990-12-31,"France","Soveria","Corsican National Liberation Front (FLNC)",1,,,,,1,0,Government (General),,,Western Europe,Assassination,,,Firearms,,,
199012310002,1990-12-31,"Philippines","Bangued","New People's Army (NPA)",0,,,,,0,0,Business,,,Southeast Asia,Armed Assault,,,Firearms,,,
199012310001,1990-12-31,"Philippines","Bangued","New People's Army (NPA)",0,,,,,1,0,Police,,,Southeast Asia,Armed Assault,,,Firearms,,,
199012300001,1990-12-30,"Israel","Haifa","Palestine Liberation Organization (PLO)",0,,,,,1,0,Private Citizens & Property,,,Middle East & North Africa,Assassination,,,Melee,,,
199012280005,1990-12-28,"Spain","Durango","Basque Fatherland and Freedom (ETA)",0,,,,,0,0,Police,,,Western Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199012280003,1990-12-28,"Philippines","Gumaca","New People's Army (NPA)",0,,,,,2,3,Military,,,Southeast Asia,Armed Assault,,,Firearms,,,
199012280002,1990-12-28,"Pakistan","karachi","Unknown",0,,,,,0,0,Religious Figures/Institutions,,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199012280001,1990-12-28,"Angola","Luanda","National Union for the Total Independence of Angola (UNITA)",0,,,,,0,2,Airports and Aircraft,,,Sub-Saharan Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199012270008,1990-12-27,"Turkey","Istanbul","Dev Sol",0,,,,,2,0,Government (General),,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199012270007,1990-12-27,"United Kingdom","belfast","Unknown",0,,,,,0,0,Police,,,Western Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199012270006,1990-12-27,"United Kingdom","Belfast","Irish Republican Army (IRA)",0,,,,,0,2,Police,,,Western Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199012270005,1990-12-27,"India","Chuhr Chak","Unknown",0,,,,,4,0,Police,,,South Asia,Assassination,,,Firearms,,,
199012270004,1990-12-27,"Israel","Gush Etzion regional council","Organization for Zionist Retribution",0,,,,,0,3,Private Citizens & Property,,,Middle East & North Africa,Assassination,,,Firearms,,,
199012270003,1990-12-27,"United Kingdom","Rosslea","Irish Republican Army (IRA)",0,,,,,0,0,Military,,,Western Europe,Armed Assault,,,Firearms,,,
199012270002,1990-12-27,"Colombia","Media Luna","National Liberation Army of Colombia (ELN)",0,,,,,3,7,Police,,,South America,Facility/Infrastructure Attack,,,Firearms,,,
199012270001,1990-12-27,"Pakistan","turbat","Unknown",0,,,,,1,4,Business,,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199012260002,1990-12-26,"Honduras","Tegucigalpa","Unknown",0,,,,,0,0,Business,,,Central America & Caribbean,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199012260001,1990-12-26,"Colombia","Florencia district","Revolutionary Armed Forces of Colombia (FARC)",0,,,,,0,0,Utilities,,,South America,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199012250003,1990-12-25,"Italy","Rome","Anarchists",1,,,,,0,0,Journalists & Media,,,Western Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199012250002,1990-12-25,"Greece","Athens","Unknown",0,,,,,0,0,Business,,,Western Europe,Facility/Infrastructure Attack,,,Incendiary,,,
199012250001,1990-12-25,"Angola","Munhango","National Union for the Total Independence of Angola (UNITA)",0,,,,,0,0,Private Citizens & Property,,,Sub-Saharan Africa,Armed Assault,,,Firearms,,,
199012240004,1990-12-24,"Colombia","Unknown","Simon Bolivar Guerrilla Coordinating Board (CGSB)",0,,,,,0,0,Military,,,South America,Armed Assault,,,Incendiary,,,
199012240003,1990-12-24,"Philippines","Baggao","New People's Army (NPA)",0,,,,,1,0,Government (General),,,Southeast Asia,Assassination,,,Firearms,,,
199012240002,1990-12-24,"Colombia","San Carlos","Simon Bolivar Guerrilla Coordinating Board (CGSB)",0,,,,,0,0,Police,,,South America,Hostage Taking (Kidnapping),,,Firearms,,,
199012240001,1990-12-24,"Colombia","San Carlos","Simon Bolivar Guerrilla Coordinating Board (CGSB)",0,,,,,0,0,Private Citizens & Property,,,South America,Armed Assault,,,Firearms,,,
199012230004,1990-12-23,"Honduras","Tegucigalpa","Patriotic Morazanista Front (FPM)",0,,,,,0,0,Business,,,Central America & Caribbean,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199012230003,1990-12-23,"Honduras","Tegucigalpa","Patriotic Morazanista Front (FPM)",0,,,,,0,0,Business,,,Central America & Caribbean,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199012230002,1990-12-23,"Honduras","Tegucigalpa","Patriotic Morazanista Front (FPM)",0,,,,,0,0,Business,,,Central America & Caribbean,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199012230001,1990-12-23,"Honduras","Tegucigalpa","Patriotic Morazanista Front (FPM)",0,,,,,0,0,Business,,,Central America & Caribbean,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199012220003,1990-12-22,"Peru","Arequipa","Unknown",0,,,,,0,1,Police,,,South America,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199012220002,1990-12-22,"Philippines","Cebu City","New People's Army (NPA)",0,,,,,1,1,Government (General),,,Southeast Asia,Assassination,,,Firearms,,,
199012220001,1990-12-22,"Senegal","Ziguinchor","Movement of Democratic Forces of Casamance",0,,,,,0,1,Government (General),,,Sub-Saharan Africa,Armed Assault,,,Firearms,,,
199012210003,1990-12-21,"Panama","Panama City","20 December Movement (M-20)",0,,,,,Unknown,Unknown,Private Citizens & Property,,,Central America & Caribbean,Bombing/Explosion,,,Firearms,Explosives/Bombs/Dynamite,,
199012210002,1990-12-21,"El Salvador","San Salvador","Farabundo Marti National Liberation Front (FMLN)",0,,,,,0,0,Military,,,Central America & Caribbean,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199012210001,1990-12-21,"Philippines","Florida Blanca","Reform of the Armed Forces Movement",0,,,,,0,0,Military,,,Southeast Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199012200008,1990-12-20,"Spain","Valencia","Basque Fatherland and Freedom (ETA)",0,,,,,0,11,Military,,,Western Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199012200007,1990-12-20,"Peru","Tumbes","Shining Path (SL)",0,,,,,0,0,Business,,,South America,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199012200006,1990-12-20,"Nicaragua","Chinandega","Unknown",0,,,,,0,0,Government (General),,,Central America & Caribbean,Assassination,,,Explosives/Bombs/Dynamite,,,
199012200005,1990-12-20,"Colombia","Cartagena","Unknown",0,,,,,0,0,Utilities,,,South America,Facility/Infrastructure Attack,,,Incendiary,,,
199012200004,1990-12-20,"Philippines","Unknown","New People's Army (NPA)",0,,,,,5,0,Government (General),,,Southeast Asia,Assassination,,,Firearms,,,
199012200003,1990-12-20,"United Kingdom","Belfast","Irish Republican Army (IRA)",1,,,,,1,0,Police,,,Western Europe,Assassination,,,Firearms,,,
199012200002,1990-12-20,"Somalia","Mogadishu","Unknown",0,,,,,1,0,Airports and Aircraft,,,Sub-Saharan Africa,Armed Assault,,,Firearms,,,
199012190007,1990-12-19,"Israel","Jerusalem","Unknown",0,,,,,0,0,Police,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199012190006,1990-12-19,"Philippines","Quezon City","New People's Army (NPA)",0,,,,,0,1,Police,,,Southeast Asia,Assassination,,,Firearms,,,
199012190005,1990-12-19,"Pakistan","Lahore","Sipah-e-Sahaba/Pakistan (SSP)",1,,,,,1,0,Government (General),,,South Asia,Assassination,,,Firearms,,,
199012190004,1990-12-19,"Israel","Jerusalem","Hamas (Islamic Resistance Movement)",0,,,,,0,1,Tourists,,,Middle East & North Africa,Assassination,,,Melee,,,
199012190003,1990-12-19,"United Kingdom","Lurgan","Irish Republican Army (IRA)",0,,,,,1,0,Police,,,Western Europe,Assassination,,,Firearms,,,
199012190002,1990-12-19,"France","Ajaccio","Unknown",0,,,,,1,1,Government (General),,,Western Europe,Assassination,,,Firearms,,,
199012190001,1990-12-19,"South Africa","Johannesburg","Unknown",0,,,,,0,0,Violent Political Party,,,Sub-Saharan Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199012180001,1990-12-18,"Colombia","La Gomez","National Liberation Army of Colombia (ELN)",0,,,,,0,0,Utilities,,,South America,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199012170009,1990-12-17,"Guatemala","Rio Bravo","Guatemalan National Revolutionary Unity (URNG)",0,,,,,5,0,Transportation,,,Central America & Caribbean,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199012170008,1990-12-17,"Turkey","Ankara","Dev Sol",0,,,,,1,0,Private Citizens & Property,,,Middle East & North Africa,Assassination,,,Firearms,,,
199012170007,1990-12-17,"Uganda","Kitgum District","Unknown",0,,,,,0,0,Journalists & Media,Journalists & Media,,Sub-Saharan Africa,Hostage Taking (Kidnapping),,,Firearms,,,
199012170006,1990-12-17,"Colombia","San Jose del Guaviare","Revolutionary Armed Forces of Colombia (FARC)",0,,,,,0,0,Private Citizens & Property,Private Citizens & Property,,South America,Hostage Taking (Kidnapping),,,Firearms,,,
199012170005,1990-12-17,"Peru","San Pedro de Cajas District","Shining Path (SL)",1,,,,,8,0,Private Citizens & Property,,,South America,Armed Assault,,,Firearms,,,
199012170004,1990-12-17,"Peru","Lima","Shining Path (SL)",1,,,,,1,1,Police,,,South America,Armed Assault,,,Firearms,,,
199012170003,1990-12-17,"Nicaragua","Juigalpa","Unknown",0,,,,,0,0,Government (General),,,Central America & Caribbean,Assassination,,,Explosives/Bombs/Dynamite,,,
199012170001,1990-12-17,"Chile","Santiago","United Popular Action Movement",0,,,,,0,1,Police,,,South America,Armed Assault,,,Firearms,,,
199012160012,1990-12-16,"West Bank and Gaza Strip","Nablus","Palestinians",0,,,,,0,1,Military,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199012160011,1990-12-16,"Nicaragua","Managua","Unknown",0,,,,,0,0,Government (General),,,Central America & Caribbean,Assassination,,,Explosives/Bombs/Dynamite,,,
199012160010,1990-12-16,"Guatemala","Guatemala City","Unknown",0,,,,,0,0,Police,,,Central America & Caribbean,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199012160009,1990-12-16,"Guatemala","Guatemala City","Unknown",0,,,,,0,0,Business,,,Central America & Caribbean,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199012160008,1990-12-16,"Peru","Lima","Unknown",0,,,,,1,0,Government (General),,,South America,Assassination,,,Firearms,,,
199012160007,1990-12-16,"Colombia","La Primavera","National Liberation Army of Colombia (ELN)",0,,,,,7,0,Business,,,South America,Assassination,,,Firearms,,,
199012160006,1990-12-16,"Sri Lanka","Batticaloa District","Liberation Tigers of Tamil Eelam (LTTE)",0,,,,,9,8,Military,,,South Asia,Bombing/Explosion,,,Firearms,Explosives/Bombs/Dynamite,,
199012160005,1990-12-16,"Greece","Athens","November 17 Revolutionary Organization (N17RO)",0,,,,,0,2,Government (Diplomatic),,,Western Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199012160004,1990-12-16,"Nicaragua","Matagalpa","Unknown",0,,,,,0,0,Government (General),,,Central America & Caribbean,Assassination,,,Explosives/Bombs/Dynamite,,,
199012160003,1990-12-16,"Chile","Santiago","United Popular Action Movement",0,,,,,0,0,Religious Figures/Institutions,,,South America,Hostage Taking (Barricade Incident),,,Incendiary,,,
199012160002,1990-12-16,"Philippines","Caloocan","Unknown",0,,,,,0,1,Business,,,Southeast Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199012160001,1990-12-16,"Somalia","Mogadishu","United Somali Congress",0,,,,,0,0,Military,,,Sub-Saharan Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199012150008,1990-12-15,"Spain","Bilbao","Basque Fatherland and Freedom (ETA)",0,,,,,0,6,Police,,,Western Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199012150007,1990-12-15,"Colombia","Villagarzon","Revolutionary Armed Forces of Colombia (FARC)",0,,,,,0,0,Airports and Aircraft,,,South America,Armed Assault,,,Incendiary,,,
199012150006,1990-12-15,"Chile","Santiago","United Popular Action Movement",0,,,,,0,0,Business,,,South America,Hijacking,,,Firearms,,,
199012150005,1990-12-15,"Philippines","Rosario","New People's Army (NPA)",0,,,,,5,0,Military,,,Southeast Asia,Armed Assault,,,Firearms,,,
199012150004,1990-12-15,"Philippines","Goa","New People's Army (NPA)",0,,,,,2,3,Military,,,Southeast Asia,Armed Assault,,,Firearms,,,
199012150003,1990-12-15,"Philippines","Bansalan","New People's Army (NPA)",0,,,,,15,1,Police,,,Southeast Asia,Armed Assault,,,Firearms,,,
199012150002,1990-12-15,"Colombia","Puerto Belgica","Unknown",0,,,,,6,0,Police,,,South America,Armed Assault,,,Firearms,,,
199012140014,1990-12-14,"Spain","Amorebieta","Basque Fatherland and Freedom (ETA)",0,,,,,1,0,Police,,,Western Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199012140013,1990-12-14,"Spain","Donostia-San Sebastian","Basque Fatherland and Freedom (ETA)",0,,,,,0,2,Police,Unknown,,Western Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199012140012,1990-12-14,"Colombia","Unknown","Revolutionary Armed Forces of Colombia (FARC)",0,,,,,0,0,Transportation,,,South America,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199012140011,1990-12-14,"Colombia","Unknown","Revolutionary Armed Forces of Colombia (FARC)",0,,,,,2,0,Military,,,South America,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199012140010,1990-12-14,"Colombia","Medellin","Unknown",0,,,,,0,10,Business,,,South America,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199012140009,1990-12-14,"Chile","Santiago","Manuel Rodriguez Patriotic Front (FPMR)",0,,,,,0,0,Religious Figures/Institutions,,,South America,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199012140008,1990-12-14,"Chile","Santiago","Manuel Rodriguez Patriotic Front (FPMR)",0,,,,,0,2,Business,,,South America,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199012140007,1990-12-14,"Chile","Santiago","Manuel Rodriguez Patriotic Front (FPMR)",0,,,,,0,0,Transportation,,,South America,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199012140006,1990-12-14,"Chile","Santiago","Manuel Rodriguez Patriotic Front (FPMR)",0,,,,,0,0,Utilities,,,South America,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
