GTD ID,DATE,COUNTRY,CITY,PERPETRATOR 1,GUNCERTAIN 1,PERPETRATOR 2,GUNCERTAIN 2,PERPETRATOR 3,GUNCERTAIN 3,FATALITIES,INJURED,TARGET TYPE 1,TARGET TYPE 2,TARGET TYPE 3,REGION,ATTACK TYPE 1,ATTACK TYPE 2,ATTACK TYPE 3,WEAPON TYPE 1,WEAPON TYPE 2,WEAPON TYPE 3,WEAPON TYPE 4
199212310008,1992-12-31,"Colombia","Medellin","Unknown",0,,,,,0,0,Police,,,South America,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199212310007,1992-12-31,"Turkey","Diyarbakir","Kurdistan Workers' Party (PKK)",0,,,,,1,2,Military,,,Middle East & North Africa,Armed Assault,,,Firearms,,,
199212310006,1992-12-31,"France","Villepinte","Neo-Nazi Group",0,,,,,0,0,Religious Figures/Institutions,,,Western Europe,Facility/Infrastructure Attack,,,Incendiary,,,
199212310005,1992-12-31,"Rwanda","Butare","Unknown",0,,,,,0,7,Business,,,Sub-Saharan Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199212310004,1992-12-31,"India","Gurdaspur","Sikh Extremists",0,,,,,3,0,Police,,,South Asia,Armed Assault,,,Firearms,,,
199212310003,1992-12-31,"India","Bhatghar","Sikh Extremists",0,,,,,2,0,Police,,,South Asia,Armed Assault,,,Firearms,,,
199212310002,1992-12-31,"Cambodia","Svay Leu","Khmer Rouge",0,,,,,0,0,Government (Diplomatic),,,Southeast Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199212310001,1992-12-31,"India","Khanna","Sikh Extremists",0,,,,,4,0,Private Citizens & Property,,,South Asia,Assassination,,,Firearms,,,
199212300007,1992-12-30,"Argentina","Buenos Aires","People's Revolutionary Organization",0,,,,,0,0,Business,,,South America,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199212300006,1992-12-30,"United Kingdom","Belfast","Irish Republican Army (IRA)",0,,,,,1,0,Military,,,Western Europe,Assassination,,,Firearms,,,
199212300003,1992-12-30,"United Kingdom","Belfast","Irish Republican Army (IRA)",0,,,,,0,2,Business,,,Western Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199212300002,1992-12-30,"Lebanon","Sidon","Unknown",0,,,,,1,0,Violent Political Party,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199212290013,1992-12-29,"Kazakhstan","Temirtau","Unknown",0,,,,,1,1,Business,,,Central Asia,Assassination,,,Firearms,,,
199212290012,1992-12-29,"Peru","Lima","Shining Path (SL)",0,,,,,1,0,Police,,,South America,Assassination,,,Firearms,,,
199212290011,1992-12-29,"Cuba","Havana","Unknown",0,,,,,0,0,Airports and Aircraft,,,Central America & Caribbean,Hijacking,,,Unknown,,,
199212290010,1992-12-29,"Argentina","Cordoba","Neo-Nazi Group",0,,,,,0,1,Educational Institution,,,South America,Armed Assault,,,Firearms,,,
199212290009,1992-12-29,"Peru","Lima","Shining Path (SL)",0,,,,,0,0,Business,,,South America,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199212290008,1992-12-29,"Peru","Lima","Shining Path (SL)",0,,,,,0,0,Business,,,South America,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199212290007,1992-12-29,"Peru","Lima","Unknown",0,,,,,0,0,Government (Diplomatic),,,South America,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199212290006,1992-12-29,"Benin","Cotonou","Unknown",0,,,,,0,1,Government (Diplomatic),,,Sub-Saharan Africa,Unknown,,,Unknown,,,
199212290005,1992-12-29,"Egypt","Assiut","Al-Gama'at al-Islamiyya (IG)",0,,,,,1,0,Police,,,Middle East & North Africa,Armed Assault,,,Firearms,,,
199212290004,1992-12-29,"United Kingdom","Belfast","Irish Republican Army (IRA)",0,,,,,0,0,Business,,,Western Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199212290003,1992-12-29,"Yemen","Aden","Al-Qaida",0,,,,,1,1,Business,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199212290002,1992-12-29,"Yemen","Aden","Al-Qaida",0,,,,,2,5,Business,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199212290001,1992-12-29,"Sri Lanka","Pooneryn","Liberation Tigers of Tamil Eelam (LTTE)",0,,,,,4,1,Military,,,South Asia,Armed Assault,,,Firearms,,,
199212280019,1992-12-28,"Belize","Belize City","Unknown",0,,,,,0,0,Government (General),,,Central America & Caribbean,Armed Assault,,,Melee,,,
199212280018,1992-12-28,"Colombia","Unknown","Revolutionary Armed Forces of Colombia (FARC)",0,,,,,6,0,Military,,,South America,Armed Assault,,,Firearms,,,
199212280017,1992-12-28,"Colombia","Unknown","Revolutionary Armed Forces of Colombia (FARC)",0,,,,,12,0,Military,,,South America,Armed Assault,,,Firearms,,,
199212280016,1992-12-28,"Colombia","Medellin","Narco-Terrorists",0,,,,,3,7,Police,,,South America,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199212280015,1992-12-28,"Peru","Lima","Shining Path (SL)",0,,,,,0,0,Government (Diplomatic),,,South America,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199212280014,1992-12-28,"Peru","Lima","Shining Path (SL)",0,,,,,0,10,Government (Diplomatic),,,South America,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199212280009,1992-12-28,"Panama","Panama City","Unknown",0,,,,,0,0,Business,,,Central America & Caribbean,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199212280008,1992-12-28,"Panama","Canazas","Unknown",0,,,,,0,0,Utilities,,,Central America & Caribbean,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199212280007,1992-12-28,"Panama","Canazas","Unknown",0,,,,,0,0,Utilities,,,Central America & Caribbean,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199212280006,1992-12-28,"Panama","Canazas","Unknown",0,,,,,0,0,Utilities,,,Central America & Caribbean,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199212280005,1992-12-28,"Panama","Canazas","Unknown",0,,,,,0,0,Utilities,,,Central America & Caribbean,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199212280004,1992-12-28,"Georgia","Ochamchira","Abkhazian guerrillas",0,,,,,15,0,Military,,,Central Asia,Armed Assault,,,Firearms,,,
199212280003,1992-12-28,"France","Strasbourg","Neo-Nazi Group",0,,,,,0,0,Religious Figures/Institutions,,,Western Europe,Unknown,,,Unknown,,,
199212280002,1992-12-28,"Sierra Leone","Lumpa","Rebel Military Unit",0,,,,,7,0,Government (General),,,Sub-Saharan Africa,Armed Assault,,,Firearms,,,
199212270004,1992-12-27,"Peru","Lima","Shining Path (SL)",0,,,,,1,0,Government (General),,,South America,Assassination,,,Firearms,,,
199212270003,1992-12-27,"Peru","Huacho","Unknown",0,,,,,0,11,Business,,,South America,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199212270002,1992-12-27,"Ecuador","Quito","Unknown",0,,,,,0,0,Military,,,South America,Assassination,,,Explosives/Bombs/Dynamite,,,
199212270001,1992-12-27,"Algeria","Aures Mountain","Islamic Salvation Front (FIS)",0,,,,,3,0,Police,,,Middle East & North Africa,Armed Assault,,,Firearms,,,
199212260013,1992-12-26,"Turkey","Istanbul","Unknown",0,,,,,1,4,Business,,,Middle East & North Africa,Assassination,,,Firearms,,,
199212260012,1992-12-26,"Peru","Lima","Shining Path (SL)",0,,,,,1,1,Police,,,South America,Bombing/Explosion,,,Firearms,Explosives/Bombs/Dynamite,,
199212260011,1992-12-26,"Colombia","Unknown","National Liberation Army of Colombia (ELN)",0,,,,,1,1,Military,,,South America,Armed Assault,,,Firearms,,,
199212260010,1992-12-26,"Peru","Lima","Shining Path (SL)",0,,,,,0,0,Business,,,South America,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
