GTD ID,DATE,COUNTRY,CITY,PERPETRATOR 1,GUNCERTAIN 1,PERPETRATOR 2,GUNCERTAIN 2,PERPETRATOR 3,GUNCERTAIN 3,FATALITIES,INJURED,TARGET TYPE 1,TARGET TYPE 2,TARGET TYPE 3,REGION,ATTACK TYPE 1,ATTACK TYPE 2,ATTACK TYPE 3,WEAPON TYPE 1,WEAPON TYPE 2,WEAPON TYPE 3,WEAPON TYPE 4
198812310008,1988-12-31,"India","Ludhiana","Sikh Extremists",0,,,,,1,0,Government (General),,,South Asia,Assassination,,,Firearms,,,
198812310007,1988-12-31,"Peru","Mantaro district","Shining Path (SL)",0,,,,,0,0,Utilities,,,South America,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
198812310006,1988-12-31,"Peru","Mantaro district","Shining Path (SL)",0,,,,,0,0,Utilities,,,South America,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
198812310005,1988-12-31,"Peru","Mantaro district","Shining Path (SL)",0,,,,,0,0,Utilities,,,South America,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
198812310004,1988-12-31,"Peru","Mantaro district","Shining Path (SL)",0,,,,,0,0,Utilities,,,South America,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
198812310003,1988-12-31,"Peru","Mantaro district","Shining Path (SL)",0,,,,,0,0,Utilities,,,South America,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
198812310002,1988-12-31,"Peru","La Oroya","Shining Path (SL)",0,,,,,0,0,Utilities,,,South America,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
198812310001,1988-12-31,"Chile","Santiago","Manuel Rodriguez Patriotic Front (FPMR)",0,,,,,0,1,Government (General),,,South America,Bombing/Explosion,,,Unknown,,,
198812300005,1988-12-30,"Colombia","Medellin","Unknown",0,,,,,2,2,Police,,,South America,Bombing/Explosion,,,Firearms,Explosives/Bombs/Dynamite,,
198812300004,1988-12-30,"South Africa","Somerset West","Unknown",0,,,,,0,0,Government (General),,,Sub-Saharan Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
198812300003,1988-12-30,"India","Amritsar","Sikh Extremists",0,,,,,2,0,Transportation,,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
198812300002,1988-12-30,"India","Amritsar","Unknown",0,,,,,4,2,Private Citizens & Property,,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
198812300001,1988-12-30,"Chile","Santiago","Manuel Rodriguez Patriotic Front (FPMR)",0,,,,,0,1,Transportation,,,South America,Armed Assault,,,Incendiary,,,
198812290010,1988-12-29,"Philippines","Unknown","New People's Army (NPA)",0,,,,,4,0,Police,,,Southeast Asia,Armed Assault,,,Firearms,,,
198812290009,1988-12-29,"Philippines","Unknown","New People's Army (NPA)",0,,,,,6,6,Military,,,Southeast Asia,Armed Assault,,,Firearms,,,
198812290008,1988-12-29,"El Salvador","Unknown","Farabundo Marti National Liberation Front (FMLN)",0,,,,,1,40,Military,,,Central America & Caribbean,Bombing/Explosion,,,Firearms,Explosives/Bombs/Dynamite,,
198812290007,1988-12-29,"Colombia","Chiriri","National Liberation Army of Colombia (ELN)",0,,,,,4,3,Private Citizens & Property,,,South America,Armed Assault,,,Firearms,,,
198812290006,1988-12-29,"South Africa","Mitchells Plain","Unknown",0,,,,,0,0,Police,,,Sub-Saharan Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
198812290005,1988-12-29,"Peru","Ayacucho","Shining Path (SL)",0,,,,,0,0,Utilities,,,South America,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
198812290004,1988-12-29,"Peru","Ayacucho","Shining Path (SL)",0,,,,,0,0,Utilities,,,South America,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
198812290003,1988-12-29,"Lebanon","Beirut","Unknown",0,,,,,0,1,Military,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,Explosives/Bombs/Dynamite,,
198812290002,1988-12-29,"El Salvador","San Salvador","Death Squad",0,,,,,0,0,Religious Figures/Institutions,,,Central America & Caribbean,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
198812290001,1988-12-29,"Argentina","Buenos Aires","Unknown",0,,,,,0,4,Government (General),,,South America,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
198812280008,1988-12-28,"Botswana","Gaborone","Unknown",0,,,,,1,5,Private Citizens & Property,,,Sub-Saharan Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
198812280007,1988-12-28,"Philippines","Unknown","New People's Army (NPA)",0,,,,,6,0,Private Citizens & Property,,,Southeast Asia,Armed Assault,,,Firearms,,,
198812280006,1988-12-28,"Colombia","Simiti","Revolutionary Armed Forces of Colombia (FARC)",0,,,,,5,0,Private Citizens & Property,,,South America,Bombing/Explosion,,,Firearms,Explosives/Bombs/Dynamite,,
198812280005,1988-12-28,"Colombia","Rio Negro","Death Squad",0,,,,,3,0,Government (General),,,South America,Assassination,,,Firearms,,,
198812280003,1988-12-28,"Chile","Puerto Aysen","Unknown",0,,,,,0,0,Transportation,,,South America,Armed Assault,,,Incendiary,,,
198812280002,1988-12-28,"Chile","Quilpue","Unknown",0,,,,,0,0,Transportation,,,South America,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
198812280001,1988-12-28,"Chile","Vina Del Mar","Unknown",0,,,,,0,0,Private Citizens & Property,,,South America,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
198812270009,1988-12-27,"Suriname","Mongo Tapoe","Brunswijk Jungle Commando",0,,,,,0,0,Military,,,South America,Armed Assault,,,Firearms,,,
198812270008,1988-12-27,"Suriname","Albina","Brunswijk Jungle Commando",0,,,,,0,0,Military,,,South America,Armed Assault,,,Firearms,,,
198812270007,1988-12-27,"Peru","Vilcashuaman","Shining Path (SL)",0,,,,,0,0,Private Citizens & Property,,,South America,Armed Assault,,,Firearms,,,
198812270006,1988-12-27,"Peru","Vilcashuaman","Shining Path (SL)",0,,,,,1,0,Government (General),,,South America,Assassination,,,Unknown,,,
198812270005,1988-12-27,"Pakistan","Karachi","Soldiers of Truth",0,,,,,0,1,Government (Diplomatic),,,South Asia,Assassination,,,Firearms,,,
198812270004,1988-12-27,"Switzerland","Geneva","Kurdistan Workers' Party (PKK)",0,,,,,0,0,Business,,,Western Europe,Hostage Taking (Kidnapping),,,Melee,Firearms,,
198812270003,1988-12-27,"Colombia","Ocana","Unknown",0,,,,,0,0,Government (General),,,South America,Hostage Taking (Kidnapping),,,Firearms,,,
198812270002,1988-12-27,"South Africa","Sandton","Unknown",0,,,,,0,0,Utilities,,,Sub-Saharan Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
198812270001,1988-12-27,"Angola","Luanda","National Union for the Total Independence of Angola (UNITA)",0,,,,,1,13,Military,,,Sub-Saharan Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
198812260005,1988-12-26,"Suriname","Albina","Brunswijk Jungle Commando",0,,,,,0,0,Military,,,South America,Armed Assault,,,Firearms,,,
198812260004,1988-12-26,"South Africa","Soweto","Unknown",0,,,,,5,0,Private Citizens & Property,,,Sub-Saharan Africa,Armed Assault,,,Firearms,,,
198812260003,1988-12-26,"Israel","Al-Manara","Abu Nidal Organization (ANO)",0,,,,,3,7,Military,,,Middle East & North Africa,Armed Assault,,,Firearms,,,
198812260002,1988-12-26,"India","Rasalpura","Sikh Extremists",0,,,,,3,0,Private Citizens & Property,,,South Asia,Assassination,,,Unknown,,,
198812260001,1988-12-26,"Peru","La Oroya","Shining Path (SL)",0,,,,,0,0,Business,,,South America,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
198812250008,1988-12-25,"United States","Dallas","Anti-Abortion Activists",0,,,,,0,0,Abortion Related,,,North America,Facility/Infrastructure Attack,,,Incendiary,,,
198812250007,1988-12-25,"United States","Dallas","Anti-Abortion Activists",0,,,,,0,0,Abortion Related,,,North America,Facility/Infrastructure Attack,,,Incendiary,,,
198812250006,1988-12-25,"United States","Dallas","Anti-Abortion Activists",0,,,,,0,0,Abortion Related,,,North America,Facility/Infrastructure Attack,,,Incendiary,,,
198812250005,1988-12-25,"India","Makhu","Unknown",0,,,,,0,0,Transportation,,,South Asia,Hostage Taking (Kidnapping),,,Firearms,,,
198812250004,1988-12-25,"India","Amritsar","Sikh Extremists",0,,,,,7,0,Transportation,,,South Asia,Hostage Taking (Kidnapping),,,Firearms,,,
198812250003,1988-12-25,"Switzerland","Zurich","Unknown",0,,,,,0,0,Business,,,Western Europe,Facility/Infrastructure Attack,,,Incendiary,,,
198812250002,1988-12-25,"Peru","La Oroya","Shining Path (SL)",0,,,,,0,0,Business,,,South America,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
198812250001,1988-12-25,"Lebanon","Beirut","Unknown",0,,,,,0,1,Military,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
198812240003,1988-12-24,"Japan","Okinawa","Unknown",0,,,,,0,25,Business,,,East Asia,Unarmed Assault,,,Chemical,,,
