GTD ID,DATE,COUNTRY,CITY,PERPETRATOR 1,GUNCERTAIN 1,PERPETRATOR 2,GUNCERTAIN 2,PERPETRATOR 3,GUNCERTAIN 3,FATALITIES,INJURED,TARGET TYPE 1,TARGET TYPE 2,TARGET TYPE 3,REGION,ATTACK TYPE 1,ATTACK TYPE 2,ATTACK TYPE 3,WEAPON TYPE 1,WEAPON TYPE 2,WEAPON TYPE 3,WEAPON TYPE 4
199612310002,1996-12-31,"Syria","Aleppo","Islamic Movement for Change",0,,,,,15,50,Transportation,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199612310001,1996-12-31,"United Kingdom","Belfast","Irish Republican Army (IRA)",0,,,,,0,0,Police,,,Western Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199612300005,1996-12-30,"India","Sansapani","Bodo Liberation Tigers (BLT)",0,,,,,33,54,Transportation,,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199612300004,1996-12-30,"Greece","Athens","Fighting Guerrilla Formation",0,,,,,0,1,Government (Diplomatic),,,Western Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199612300003,1996-12-30,"Eritrea","Filfil","Unknown",0,,,,,6,0,Private Citizens & Property,Tourists,,Sub-Saharan Africa,Armed Assault,,,Firearms,,,
199612300002,1996-12-30,"France","Biguglia","Unknown",0,,,,,0,0,Government (General),,,Western Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199612300001,1996-12-30,"Chile","Santiago","Manuel Rodriguez Patriotic Front (FPMR)",0,,,,,0,0,Police,,,South America,Armed Assault,,,Firearms,,,
199612290006,1996-12-29,"India","Rakhal Dubi","Bodo Militants",0,,,,,0,7,Transportation,,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199612290005,1996-12-29,"Honduras","San Pedro Sula","Unknown",0,,,,,1,0,Police,,,Central America & Caribbean,Assassination,,,Firearms,,,
199612290004,1996-12-29,"Algeria","Kolea","Unknown",0,,,,,0,10,Private Citizens & Property,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199612290003,1996-12-29,"Algeria","Ohamnia, Ain Defla P.","Unknown",0,,,,,28,0,Private Citizens & Property,,,Middle East & North Africa,Armed Assault,,,Melee,,,
199612290002,1996-12-29,"Algeria","Algiers","Unknown",0,,,,,0,20,Business,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199612290001,1996-12-29,"Sri Lanka","Jaffna district","Liberation Tigers of Tamil Eelam (LTTE)",0,,,,,5,7,Military,,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199612280004,1996-12-28,"France","Ajaccio","Unknown",0,,,,,0,2,Business,,,Western Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199612280003,1996-12-28,"Algeria","Zinedine, Ain Defla P.","Unknown",0,,,,,0,8,Private Citizens & Property,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199612280002,1996-12-28,"South Africa","Inchanga","Unknown",0,,,,,6,0,Unknown,,,Sub-Saharan Africa,Armed Assault,,,Firearms,,,
199612280001,1996-12-28,"Pakistan","Lahore","Unknown",0,,,,,1,0,Government (General),,,South Asia,Assassination,,,Firearms,,,
199612270006,1996-12-27,"France","Ghisoni","Unknown",0,,,,,0,0,Private Citizens & Property,,,Western Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199612270005,1996-12-27,"France","Ville de Pietrabugno","Unknown",0,,,,,0,0,Government (General),,,Western Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199612270004,1996-12-27,"Colombia","Curumani","Unknown",0,,,,,0,0,Educational Institution,,,South America,Hostage Taking (Kidnapping),,,Unknown,,,
199612270003,1996-12-27,"Algeria","Algiers","Unknown",0,,,,,10,86,Unknown,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199612270002,1996-12-27,"Algeria","Algiers","Unknown",0,,,,,7,0,Business,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199612270001,1996-12-27,"Algeria","Algiers","Unknown",0,,,,,0,12,Business,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199612260003,1996-12-26,"Indonesia","Tasikmalaya, W. Java","Muslim Militants",0,,,,,4,15,Private Citizens & Property,,,Southeast Asia,Armed Assault,,,Incendiary,,,
199612260002,1996-12-26,"Greece","Athens","Revolutionary Nuclei",0,,,,,0,0,Business,,,Western Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199612260001,1996-12-26,"Algeria","Algiers","Unknown",0,,,,,10,68,Police,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199612250015,1996-12-25,"India","Arai Mila","Unknown",0,,,,,3,11,Government (General),,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199612250014,1996-12-25,"France","Ajaccio","Unknown",0,,,,,0,0,Business,,,Western Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199612250013,1996-12-25,"Colombia","Cali","Unknown",0,,,,,0,0,Business,,,South America,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199612250012,1996-12-25,"China","Lhasa","Unknown",0,,,,,0,0,Government (General),,,East Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199612250011,1996-12-25,"Bulgaria","Sofia","Unknown",0,,,,,0,0,Government (Diplomatic),,,Eastern Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199612250010,1996-12-25,"Bangladesh","Rangamati district","Shanti Bahini - Peace Force",0,,,,,1,0,Government (Diplomatic),,,South Asia,Assassination,,,Firearms,,,
199612250009,1996-12-25,"Angola","Ukuma","Unknown",0,,,,,7,2,Business,,,Sub-Saharan Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199612250008,1996-12-25,"Zambia","Masala","Unknown",0,,,,,0,7,Business,,,Sub-Saharan Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199612250007,1996-12-25,"Yemen","Khaulan","Al-Masni Tribe",0,,,,,0,0,Tourists,,,Middle East & North Africa,Hostage Taking (Kidnapping),,,Unknown,,,
199612250006,1996-12-25,"Philippines","Isabela","Muslim Militants",0,,,,,5,Unknown,Private Citizens & Property,,,Southeast Asia,Hostage Taking (Kidnapping),,,Unknown,,,
199612250005,1996-12-25,"West Bank and Gaza Strip","Hebron","Unknown",0,,,,,0,0,Military,Military,,Middle East & North Africa,Facility/Infrastructure Attack,,,Incendiary,,,
199612250004,1996-12-25,"West Bank and Gaza Strip","Hebron","Unknown",0,,,,,0,0,Military,Military,,Middle East & North Africa,Facility/Infrastructure Attack,,,Incendiary,,,
199612250003,1996-12-25,"West Bank and Gaza Strip","Hebron","Unknown",0,,,,,0,0,Military,Military,,Middle East & North Africa,Facility/Infrastructure Attack,,,Incendiary,,,
199612250002,1996-12-25,"Myanmar","Rangoon","Unknown",0,,,,,4,18,Private Citizens & Property,,,Southeast Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199612250001,1996-12-25,"Myanmar","Rangoon","Unknown",0,,,,,4,18,Private Citizens & Property,,,Southeast Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199612240009,1996-12-24,"France","Bastia","Corsican National Liberation Front (FLNC)",0,,,,,0,0,Government (General),,,Western Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199612240008,1996-12-24,"Indonesia","Dili","East Timorese Activists",0,,,,,0,2,Private Citizens & Property,,,Southeast Asia,Unknown,,,Unknown,,,
199612240007,1996-12-24,"Indonesia","Dili","East Timorese Activists",0,,,,,1,5,Private Citizens & Property,,,Southeast Asia,Assassination,,,Unknown,,,
199612240006,1996-12-24,"France","Bastia","Unknown",0,,,,,0,0,Business,,,Western Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199612240005,1996-12-24,"France","Corte","Unknown",0,,,,,0,0,Government (General),,,Western Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199612240003,1996-12-24,"Algeria","Algiers","Students",0,,,,,0,0,Government (Diplomatic),,,Middle East & North Africa,Hostage Taking (Barricade Incident),,,Unknown,,,
199612240002,1996-12-24,"South Africa","Worcester","Unknown",0,,,,,4,80,Private Citizens & Property,,,Sub-Saharan Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199612240001,1996-12-24,"Lebanon","Markaba","Unknown",0,,,,,2,2,Military,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199612230008,1996-12-23,"France","Paris","Unknown",0,,,,,0,0,Government (General),,,Western Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199612230007,1996-12-23,"Colombia","Zaragoza","Unknown",0,,,,,0,0,Government (General),,,South America,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199612230006,1996-12-23,"Algeria","Algiers","Unknown",0,,,,,3,70,Business,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199612230005,1996-12-23,"Algeria","Algiers","Unknown",0,,,,,6,0,Private Citizens & Property,,,Middle East & North Africa,Unknown,,,Unknown,,,
199612230004,1996-12-23,"Algeria","Reghaia","Unknown",0,,,,,3,0,Private Citizens & Property,,,Middle East & North Africa,Hijacking,,,Firearms,,,
199612230003,1996-12-23,"Algeria","Algiers","Unknown",0,,,,,8,20,Business,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199612230002,1996-12-23,"South Africa","Unknown","Unknown",0,,,,,4,0,Private Citizens & Property,,,Sub-Saharan Africa,Armed Assault,,,Firearms,,,
199612230001,1996-12-23,"Japan","Isesaki","Unknown",0,,,,,0,0,Business,,,East Asia,Unarmed Assault,,,Melee,,,
199612220007,1996-12-22,"Israel","Galilee district","Unknown",0,,,,,1,0,Private Citizens & Property,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199612220006,1996-12-22,"India","Kathalbari","Bodo Militants",0,,,,,5,0,Private Citizens & Property,,,South Asia,Armed Assault,,,Firearms,,,
199612220005,1996-12-22,"Colombia","Medellin","Unknown",0,,,,,0,0,Private Citizens & Property,,,South America,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199612220004,1996-12-22,"Algeria","Mohammedia","Unknown",0,,,,,0,4,Business,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199612220003,1996-12-22,"West Bank and Gaza Strip","Hebron","Unknown",0,,,,,0,0,Military,,,Middle East & North Africa,Facility/Infrastructure Attack,,,Incendiary,,,
199612220002,1996-12-22,"West Bank and Gaza Strip","Hebron","Unknown",0,,,,,0,0,Military,,,Middle East & North Africa,Facility/Infrastructure Attack,,,Incendiary,,,
199612220001,1996-12-22,"United Kingdom","Belfast","Unknown",0,,,,,0,1,Terrorists/Non-state Militia,,,Western Europe,Assassination,,,Explosives/Bombs/Dynamite,,,
199612210005,1996-12-21,"Italy","Milan","Unknown",0,,,,,0,0,Government (Diplomatic),,,Western Europe,Armed Assault,,,Incendiary,Incendiary,,
199612210003,1996-12-21,"France","Marseilles","Unknown",0,,,,,0,0,Government (General),,,Western Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199612210002,1996-12-21,"Israel","Golan Heights district","Unknown",0,,,,,0,0,Military,,,Middle East & North Africa,Armed Assault,,,Incendiary,,,
199612210001,1996-12-21,"Sri Lanka","Point Pedro","Liberation Tigers of Tamil Eelam (LTTE)",0,,,,,2,1,Military,,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199612200006,1996-12-20,"France","Ajaccio","Unknown",0,,,,,0,0,Business,,,Western Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199612200005,1996-12-20,"France","Unknown","Unknown",0,,,,,0,0,Police,,,Western Europe,Armed Assault,,,Firearms,,,
199612200004,1996-12-20,"Tajikistan","Unknown","Tajik Rebels",0,,,,,0,0,Government (Diplomatic),Unknown,,Central Asia,Hostage Taking (Barricade Incident),,,Firearms,,,
199612200003,1996-12-20,"Sri Lanka","Kebethegollawa","Liberation Tigers of Tamil Eelam (LTTE)",0,,,,,11,7,Military,,,South Asia,Unknown,,,Unknown,,,
199612200002,1996-12-20,"Sri Lanka","Unknown","Liberation Tigers of Tamil Eelam (LTTE)",0,,,,,10,13,Military,,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199612200001,1996-12-20,"United Kingdom","Belfast","Unknown",0,,,,,0,1,Government (General),,,Western Europe,Assassination,,,Firearms,,,
199612190007,1996-12-19,"Greece","Athens","Unknown",0,,,,,0,0,Business,,,Western Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199612190006,1996-12-19,"Cyprus","Nicosia","Unknown",0,,,,,0,0,Private Citizens & Property,,,Western Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199612190005,1996-12-19,"Colombia","Aranquita, Aravea","Unknown",0,,,,,0,0,Airports and Aircraft,,,South America,Hijacking,,,Unknown,,,
199612190004,1996-12-19,"Yemen","Unknown","Tribal Group",0,,,,,0,0,Tourists,,,Middle East & North Africa,Hostage Taking (Barricade Incident),,,Unknown,,,
199612190003,1996-12-19,"Sweden","Gothenburg","Unknown",0,,,,,0,0,Business,Transportation,,Western Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199612190002,1996-12-19,"Sri Lanka","Kiran","Liberation Tigers of Tamil Eelam (LTTE)",0,,,,,1,1,Military,,,South Asia,Unknown,,,Unknown,,,
199612190001,1996-12-19,"Russia","St. Petersburg","Unknown",0,,,,,0,1,Transportation,,,Eastern Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199612180013,1996-12-18,"France","Bastia","Unknown",0,,,,,0,0,Police,,,Western Europe,Armed Assault,,,Firearms,,,
199612180012,1996-12-18,"France","Belgodere","Unknown",0,,,,,0,0,Police,,,Western Europe,Armed Assault,,,Firearms,,,
199612180010,1996-12-18,"France","Bastia","Unknown",0,,,,,0,0,Government (General),,,Western Europe,Facility/Infrastructure Attack,,,Firearms,,,
199612180009,1996-12-18,"Colombia","Bogota","Unknown",0,,,,,0,0,Government (General),,,South America,Assassination,,,Explosives/Bombs/Dynamite,,,
199612180008,1996-12-18,"China","Zhengzhou","Unknown",0,,,,,1,0,Private Citizens & Property,,,East Asia,Hostage Taking (Kidnapping),,,Explosives/Bombs/Dynamite,,,
199612180007,1996-12-18,"United States","New Orleans","Unaffiliated Individual(s)",0,,,,,0,1,Abortion Related,,,North America,Assassination,,,Melee,,,
199612180006,1996-12-18,"Sri Lanka","Batticaloa district","Liberation Tigers of Tamil Eelam (LTTE)",0,,,,,1,0,Terrorists/Non-state Militia,,,South Asia,Assassination,,,Firearms,,,
199612180005,1996-12-18,"Spain","Inchaurrondo Region","Unknown",0,,,,,0,0,Police,,,Western Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199612180004,1996-12-18,"Spain","Bentono","Unknown",0,,,,,0,0,Police,,,Western Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,Explosives/Bombs/Dynamite,,
199612180003,1996-12-18,"Russia","Grozny","Unknown",0,,,,,6,0,Private Citizens & Property,,,Eastern Europe,Assassination,,,Firearms,,,
199612180002,1996-12-18,"Nigeria","Lagos","Unknown",0,,,,,0,12,Transportation,,,Sub-Saharan Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199612180001,1996-12-18,"Lebanon","Tripoli","Unknown",0,,,,,0,0,Military,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199612170011,1996-12-17,"France","Vescovato","Unknown",0,,,,,0,0,Police,,,Western Europe,Armed Assault,,,Firearms,,,
199612170010,1996-12-17,"France","Calvi","Unknown",0,,,,,0,0,Police,,,Western Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
199612170009,1996-12-17,"Colombia","Lejanias","Revolutionary Armed Forces of Colombia (FARC)",0,,,,,3,4,Military,,,South America,Unknown,,,Unknown,,,
