GTD ID,DATE,COUNTRY,CITY,PERPETRATOR 1,GUNCERTAIN 1,PERPETRATOR 2,GUNCERTAIN 2,PERPETRATOR 3,GUNCERTAIN 3,FATALITIES,INJURED,TARGET TYPE 1,TARGET TYPE 2,TARGET TYPE 3,REGION,ATTACK TYPE 1,ATTACK TYPE 2,ATTACK TYPE 3,WEAPON TYPE 1,WEAPON TYPE 2,WEAPON TYPE 3,WEAPON TYPE 4
200612310009,2006-12-31,"Nepal","Sundarpur","Janatantrik Terai Mukti Morcha (JTMM)",0,,,,,1,0,Private Citizens & Property,Private Citizens & Property,,South Asia,Hostage Taking (Kidnapping),Armed Assault,,Unknown,Firearms,,
200612310008,2006-12-31,"Nepal","Khadgapur","Janatantrik Terai Mukti Morcha- Jwala Singh (JTMM-J)",0,,,,,0,0,Private Citizens & Property,,,South Asia,Facility/Infrastructure Attack,,,Melee,Firearms,,
200612310006,2006-12-31,"India","New Delhi","Lashkar-e-Taiba (LeT)",0,,,,,0,0,Private Citizens & Property,,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
200612310005,2006-12-31,"Iraq","Baghdad","Unknown",0,,,,,4,18,Private Citizens & Property,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
200612310004,2006-12-31,"Afghanistan","Unknown","Taliban",0,,,,,6,1,Police,,,South Asia,Armed Assault,,,Firearms,,,
200612310003,2006-12-31,"Afghanistan","Khaki Safed district","Taliban",0,,,,,1,Unknown,Police,,,South Asia,Facility/Infrastructure Attack,Hostage Taking (Barricade Incident),,Incendiary,Firearms,,
200612310002,2006-12-31,"Nepal","Sarlahi district","Janatantrik Terai Mukti Morcha (JTMM)",0,,,,,1,0,Private Citizens & Property,Private Citizens & Property,,South Asia,Armed Assault,Hostage Taking (Kidnapping),,Firearms,,,
200612310001,2006-12-31,"Thailand","Bangkok","Unknown",0,,,,,2,12,Private Citizens & Property,Private Citizens & Property,,Southeast Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
200612300004,2006-12-30,"Iraq","Khalis","Unknown",0,,,,,10,Unknown,Religious Figures/Institutions,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
200612300003,2006-12-30,"Thailand","Tambon Yupo","Unknown",0,,,,,2,0,Private Citizens & Property,,,Southeast Asia,Armed Assault,,,Firearms,Incendiary,,
