GTD ID,DATE,COUNTRY,CITY,PERPETRATOR 1,GUNCERTAIN 1,PERPETRATOR 2,GUNCERTAIN 2,PERPETRATOR 3,GUNCERTAIN 3,FATALITIES,INJURED,TARGET TYPE 1,TARGET TYPE 2,TARGET TYPE 3,REGION,ATTACK TYPE 1,ATTACK TYPE 2,ATTACK TYPE 3,WEAPON TYPE 1,WEAPON TYPE 2,WEAPON TYPE 3,WEAPON TYPE 4
197112290002,1971-12-29,"United Kingdom","Londonderry","Irish Republican Army (IRA)",0,,,,,1,Unknown,Military,,,Western Europe,Assassination,,,Firearms,,,
197112290001,1971-12-29,"Turkey","Ankara","Unknown",0,,,,,Unknown,Unknown,Government (Diplomatic),,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
197112220001,1971-12-22,"United States","Camden","Puerto Rican Liberation Front",0,,,,,0,0,Business,,,North America,Facility/Infrastructure Attack,,,Incendiary,,,
197112210002,1971-12-21,"United Kingdom","Belfast","Irish Republican Army (IRA)",0,,,,,1,Unknown,Business,,,Western Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
197112200002,1971-12-20,"United States","Cambridge","Comrades in Arms",0,,,,,0,0,Police,,,North America,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
197112200001,1971-12-20,"United Kingdom","Belfast","Irish Republican Army (IRA)",0,,,,,1,Unknown,Military,Private Citizens & Property,,Western Europe,Assassination,,,Firearms,,,
197112180002,1971-12-18,"United Kingdom","Belfast","Ulster Volunteer Force (UVF)",0,,,,,1,Unknown,Business,,,Western Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
197112160001,1971-12-16,"United Kingdom","Belfast","Irish Republican Army (IRA)",0,,,,,1,Unknown,Military,,,Western Europe,Assassination,,,Firearms,,,
197112150003,1971-12-15,"United States","Cambridge","Sons of Liberty",0,,,,,0,0,Business,,,North America,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
197112150002,1971-12-15,"Switzerland","Geneva","Black September",0,,,,,0,3,Government (Diplomatic),,,Western Europe,Assassination,,,Explosives/Bombs/Dynamite,,,
197112150001,1971-12-15,"United Kingdom","London","Black September",0,,,,,0,1,Government (Diplomatic),,,Western Europe,Assassination,,,Unknown,,,
197112120001,1971-12-12,"United Kingdom","Strabane","Official Irish Republican Army (OIRA)",0,,,,,1,Unknown,Government (General),,,Western Europe,Assassination,,,Explosives/Bombs/Dynamite,Firearms,,
197112110001,1971-12-11,"United Kingdom","Belfast","Irish Republican Army (IRA)",0,,,,,4,Unknown,Business,,,Western Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
197112100002,1971-12-10,"United Kingdom","Clady","Irish Republican Army (IRA)",0,,,,,2,Unknown,Military,,,Western Europe,Assassination,,,Firearms,,,
197112100001,1971-12-10,"Spain","Urnieta","Basque Fatherland and Freedom (ETA)",0,,,,,Unknown,Unknown,Business,,,Western Europe,Facility/Infrastructure Attack,,,Incendiary,,,
197112080001,1971-12-08,"United Kingdom","Ballymurphy, Belfast","Irish Republican Army (IRA)",0,,,,,1,Unknown,Private Citizens & Property,,,Western Europe,Assassination,,,Firearms,,,
197112070002,1971-12-07,"United Kingdom","Caledon","Irish Republican Army (IRA)",0,,,,,1,Unknown,Military,,,Western Europe,Assassination,,,Firearms,,,
197112070001,1971-12-07,"United States","Palo Alto","Unknown",0,,,,,0,0,Educational Institution,,,North America,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
197112060002,1971-12-06,"United States","Shakopee","Jewish Armed Resistance",0,,,,,0,0,Business,,,North America,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
197112060001,1971-12-06,"United Kingdom","Belfast","Irish Republican Army (IRA)",0,,,,,1,Unknown,NGO,,,Western Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
197112050001,1971-12-05,"United States","New York City","Jewish Armed Resistance",0,,,,,0,0,Business,,,North America,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
197112040002,1971-12-04,"United Kingdom","Belfast","Irish Republican Army (IRA)",0,,,,,1,Unknown,Military,,,Western Europe,Assassination,,,Firearms,,,
197112040001,1971-12-04,"United Kingdom","Belfast","Ulster Volunteer Force (UVF)",0,,,,,15,Unknown,Business,,,Western Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
197111300002,1971-11-30,"United States","Akron","Left-Wing Militants",0,,,,,0,0,Military,,,North America,Facility/Infrastructure Attack,,,Incendiary,,,
197111300001,1971-11-30,"Iran","Shiraz","Unknown",0,,,,,Unknown,Unknown,Military,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
197111290004,1971-11-29,"United Kingdom","Crossmaglen","Irish Republican Army (IRA)",0,,,,,1,Unknown,Military,,,Western Europe,Assassination,,,Firearms,,,
197111290002,1971-11-29,"West Germany (FRG)","West Berlin","2nd of June Movement",0,Unknown,Unknown,Educational Institution,Western Europe,,,,Armed Assault,Firearms
197111290001,1971-11-29,"Spain","Eibar","Basque Fatherland and Freedom (ETA)",0,,,,,Unknown,Unknown,Government (General),,,Western Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
197111280002,1971-11-28,"United Kingdom","Belfast","Irish Republican Army (IRA)",0,,,,,1,Unknown,Police,,,Western Europe,Assassination,,,Firearms,,,
197111280001,1971-11-28,"Egypt","Cairo","Black September",0,,,,,1,0,Government (General),,,Middle East & North Africa,Assassination,,,Firearms,Firearms,,
