GTD ID,DATE,COUNTRY,CITY,PERPETRATOR 1,GUNCERTAIN 1,PERPETRATOR 2,GUNCERTAIN 2,PERPETRATOR 3,GUNCERTAIN 3,FATALITIES,INJURED,TARGET TYPE 1,TARGET TYPE 2,TARGET TYPE 3,REGION,ATTACK TYPE 1,ATTACK TYPE 2,ATTACK TYPE 3,WEAPON TYPE 1,WEAPON TYPE 2,WEAPON TYPE 3,WEAPON TYPE 4
200801140007,2007-01-14,"Sri Lanka","Vavuniya","Liberation Tigers of Tamil Eelam (LTTE)",0,,,,,3,6,Military,,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
200801110001,2007-01-11,"Somalia","Mogadishu","Unknown",0,,,,,7,Unknown,Military,,,Sub-Saharan Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,Explosives/Bombs/Dynamite,Firearms,
200712310001,2007-12-31,"Somalia","Mogadishu","Al-Shabaab",1,"Mujahideen Youth Movement (MYM)",1,,,Unknown,Unknown,Military,Military,,Sub-Saharan Africa,Armed Assault,Facility/Infrastructure Attack,,Firearms,,,
200712290001,2007-12-29,"Somalia","Mogadishu","Unknown",0,,,,,3,0,Government (General),,,Sub-Saharan Africa,Assassination,,,Explosives/Bombs/Dynamite,,,
200712270002,2007-12-27,"Sri Lanka","Vavuniya","Liberation Tigers of Tamil Eelam (LTTE)",1,,,,,4,6,Transportation,Police,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
200712270001,2007-12-27,"Pakistan","Rawalpindi","Al-Qaida",1,"Lashkar-e-Jhangvi",1,,,20,100,Violent Political Party,,,South Asia,Assassination,,,Explosives/Bombs/Dynamite,Chemical,,
200712260007,2007-12-26,"Algeria","Lakhdaria","Al-Qaida in the Islamic Maghreb (AQIM)",0,,,,,2,0,Police,,,Middle East & North Africa,Bombing/Explosion,Armed Assault,,Explosives/Bombs/Dynamite,Firearms,,
200712260006,2007-12-26,"Algeria","Lakhdaria","Al-Qaida in the Islamic Maghreb (AQIM)",0,,,,,0,2,Military,,,Middle East & North Africa,Bombing/Explosion,Armed Assault,,Explosives/Bombs/Dynamite,,,
200712260005,2007-12-26,"Algeria","Tala Mimoun","Al-Qaida in the Islamic Maghreb (AQIM)",0,,,,,0,2,Military,,,Middle East & North Africa,Unknown,,,Unknown,,,
200712260003,2007-12-26,"Algeria","Thenia","Al-Qaida in the Islamic Maghreb (AQIM)",0,,,,,2,2,Police,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
200712260002,2007-12-26,"Algeria","Ahnif","Al-Qaida in the Islamic Maghreb (AQIM)",0,,,,,0,0,Transportation,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
200712260001,2007-12-26,"Somalia","Bosaso","Unknown",0,,,,,0,0,NGO,NGO,,Sub-Saharan Africa,Hostage Taking (Kidnapping),,,Firearms,,,
200712250002,2007-12-25,"Iraq","Baiji","Unknown",0,,,,,20,80,Military,Terrorists/Non-state Militia,Private Citizens & Property,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
200712250001,2007-12-25,"Iraq","Baqubah","Unknown",0,,,,,5,20,Private Citizens & Property,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
200712240001,2007-12-24,"Bolivia","La Paz","Unknown",0,,,,,0,0,Government (General),,,South America,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
200712230008,2007-12-23,"Nepal","Kalaiya","Janatantrik Terai Mukti Morcha- Goit (JTMM-G)",0,,,,,0,0,Private Citizens & Property,,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
200712230007,2007-12-23,"Sri Lanka","Manniyarkulama","Unknown",0,,,,,0,0,Military,,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
200712230006,2007-12-23,"Algeria","Tébessa","Algerian Islamic Extremists",-9,,,,,0,3,Military,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
200712230005,2007-12-23,"Pakistan","Mingora","Tehrik-i-Taliban Pakistan (TTP)",0,,,,,14,26,Military,Private Citizens & Property,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
200712230004,2007-12-23,"France","Ajaccio","Corsican National Liberation Front (FLNC)",1,,,,,0,0,Government (General),,,Western Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
200712230003,2007-12-23,"France","Ajaccio","Corsican National Liberation Front (FLNC)",1,,,,,0,2,Police,Private Citizens & Property,,Western Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
200712230002,2007-12-23,"Colombia","Buenaventura","Revolutionary Armed Forces of Colombia (FARC)",1,,,,,0,0,Utilities,,,South America,Facility/Infrastructure Attack,,,Sabotage Equipment,,,
200712230001,2007-12-23,"Afghanistan","Bak district","Unknown",0,,,,,3,2,Private Citizens & Property,,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
200712220002,2007-12-22,"Nepal","Rajganj Sinuwari","Janatantrik Terai Mukti Morcha- Jwala Singh (JTMM-J)",1,,,,,1,1,Private Citizens & Property,,,South Asia,Armed Assault,,,Firearms,,,
200712210001,2007-12-21,"Pakistan","Charsadda","Unknown",0,,,,,72,101,Religious Figures/Institutions,,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
200712200003,2007-12-20,"France","Ajaccio","Corsican National Liberation Front (FLNC)",1,,,,,0,1,Government (General),,,Western Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
200712200002,2007-12-20,"France","Ajaccio","Corsican National Liberation Front (FLNC)",1,,,,,0,0,Police,,,Western Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
200712200001,2007-12-20,"Chile","Santiago","Unknown",0,,,,,0,0,Business,,,South America,Facility/Infrastructure Attack,,,Incendiary,,,
200712190002,2007-12-19,"Chile","Santiago","Unknown",0,,,,,0,0,Business,,,South America,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
200712190001,2007-12-19,"Chile","Santiago","Unknown",0,,,,,0,0,Police,,,South America,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
200712180006,2007-12-18,"Nepal","Kalyanpur","Janatantrik Terai Mukti Morcha- Jwala Singh (JTMM-J)",0,,,,,2,0,Private Citizens & Property,,,South Asia,Hostage Taking (Kidnapping),,,Unknown,,,
200712180005,2007-12-18,"Sri Lanka","Kantale","Liberation Tigers of Tamil Eelam (LTTE)",1,,,,,0,0,Transportation,,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
200712180004,2007-12-18,"Chile","Santiago","Unknown",0,,,,,0,0,Business,,,South America,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
200712180003,2007-12-18,"Colombia","Toribio","Revolutionary Armed Forces of Colombia (FARC)",1,,,,,3,Unknown,Police,,,South America,Armed Assault,,,Explosives/Bombs/Dynamite,Firearms,,
200712180002,2007-12-18,"Colombia","Anori district","Revolutionary Armed Forces of Colombia (FARC)",1,,,,,1,2,Private Citizens & Property,,,South America,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
200712180001,2007-12-18,"Chile","Santiago","Unknown",0,,,,,0,0,Telecommunication,,,South America,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
200712170004,2007-12-17,"Somalia","Mogadishu","Al-Shabaab",0,,,,,34,40,Military,,,Sub-Saharan Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,Firearms,,
200712170003,2007-12-17,"Somalia","Bosaso","Unknown",0,,,,,0,1,Journalists & Media,,,Sub-Saharan Africa,Hostage Taking (Kidnapping),,,Firearms,,,
200712170002,2007-12-17,"Afghanistan","Tarin Kot","Taliban",1,,,,,5,0,Private Citizens & Property,,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
200712170001,2007-12-17,"Pakistan","Kohat","Unknown",0,,,,,10,4,Military,,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
200712160003,2007-12-16,"Afghanistan","Kharsanay","Unknown",0,,,,,0,0,Educational Institution,,,South Asia,Bombing/Explosion,Facility/Infrastructure Attack,,Explosives/Bombs/Dynamite,,,
200712160002,2007-12-16,"Afghanistan","Khost","Unknown",0,,,,,2,4,Private Citizens & Property,,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
