GTD ID,DATE,COUNTRY,CITY,PERPETRATOR 1,GUNCERTAIN 1,PERPETRATOR 2,GUNCERTAIN 2,PERPETRATOR 3,GUNCERTAIN 3,FATALITIES,INJURED,TARGET TYPE 1,TARGET TYPE 2,TARGET TYPE 3,REGION,ATTACK TYPE 1,ATTACK TYPE 2,ATTACK TYPE 3,WEAPON TYPE 1,WEAPON TYPE 2,WEAPON TYPE 3,WEAPON TYPE 4
200412310001,2004-12-31,"Iraq","Siniyah","Unknown",0,,,,,7,Unknown,Military,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
200412300002,2004-12-29,"Iraq","Mosul","Unknown",0,,,,,26,15,Military,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,Explosives/Bombs/Dynamite,,
200412300001,2004-12-30,"Pakistan","Tank","Unknown",0,,,,,0,2,Government (General),,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
200412290003,2004-12-29,"Iraq","Baghdad","Unknown",0,,,,,29,18,Private Citizens & Property,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
200412290002,2004-12-29,"India","Srinagar","Unknown",0,,,,,5,1,Government (General),,,South Asia,Assassination,,,Firearms,,,
200412290001,2004-12-29,"Saudi Arabia","Riyadh","Al-Qaida in Saudi Arabia",1,,,,,8,90,Government (General),Military,,Middle East & North Africa,Bombing/Explosion,Armed Assault,,Explosives/Bombs/Dynamite,Explosives/Bombs/Dynamite,Firearms,
200412280001,2004-12-28,"Iraq","Baghdad","Unknown",0,,,,,15,48,Government (General),Private Citizens & Property,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
200412270004,2004-12-27,"United States","Lincoln","Earth Liberation Front (ELF)",0,,,,,0,0,Business,,,North America,Facility/Infrastructure Attack,,,Incendiary,,,
200412270003,2004-12-27,"Iraq","Baghdad","Unknown",0,,,,,13,66,Violent Political Party,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
200412270002,2004-12-27,"Pakistan","Chitral","Unknown",0,,,,,2,0,NGO,,,South Asia,Armed Assault,,,Firearms,Incendiary,Melee,
200412270001,2004-12-27,"Thailand","Pa Ching","Unknown",0,,,,,3,1,Police,,,Southeast Asia,Armed Assault,,,Firearms,,,
