COUNTRY,Country,VAR,Variable,CUR,Currency,YEAR,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
AUS,Australia,IMPORT_TRANSPORT,International passenger transport expenditure,NAT,National currency,2012,2012,AUD,Australian Dollar,6,Millions,,,6901,,
AUS,Australia,IMPORT_TRANSPORT,International passenger transport expenditure,NAT,National currency,2013,2013,AUD,Australian Dollar,6,Millions,,,6839,,
AUS,Australia,IMPORT_TRANSPORT,International passenger transport expenditure,NAT,National currency,2014,2014,AUD,Australian Dollar,6,Millions,,,6141,,
AUT,Austria,EXPORT_TOTAL,Total international receipts,NAT,National currency,2008,2008,EUR,Euro,6,Millions,,,16513,,
AUT,Austria,EXPORT_TOTAL,Total international receipts,NAT,National currency,2009,2009,EUR,Euro,6,Millions,,,15375,,
AUT,Austria,EXPORT_TOTAL,Total international receipts,NAT,National currency,2010,2010,EUR,Euro,6,Millions,,,15705,,
AUT,Austria,EXPORT_TOTAL,Total international receipts,NAT,National currency,2011,2011,EUR,Euro,6,Millions,,,16187,,
AUT,Austria,EXPORT_TOTAL,Total international receipts,NAT,National currency,2012,2012,EUR,Euro,6,Millions,,,16661,,
AUT,Austria,EXPORT_TOTAL,Total international receipts,NAT,National currency,2013,2013,EUR,Euro,6,Millions,,,17126,,
AUT,Austria,EXPORT_TOTAL,Total international receipts,NAT,National currency,2014,2014,EUR,Euro,6,Millions,,,17444,,
AUT,Austria,EXPORT_TRAVEL,International travel receipts,NAT,National currency,2008,2008,EUR,Euro,6,Millions,,,14677,,
AUT,Austria,EXPORT_TRAVEL,International travel receipts,NAT,National currency,2009,2009,EUR,Euro,6,Millions,,,13896,,
AUT,Austria,EXPORT_TRAVEL,International travel receipts,NAT,National currency,2010,2010,EUR,Euro,6,Millions,,,14027,,
AUT,Austria,EXPORT_TRAVEL,International travel receipts,NAT,National currency,2011,2011,EUR,Euro,6,Millions,,,14267,,
AUT,Austria,EXPORT_TRAVEL,International travel receipts,NAT,National currency,2012,2012,EUR,Euro,6,Millions,,,14706,,
AUT,Austria,EXPORT_TRAVEL,International travel receipts,NAT,National currency,2013,2013,EUR,Euro,6,Millions,,,15237,,
AUT,Austria,EXPORT_TRAVEL,International travel receipts,NAT,National currency,2014,2014,EUR,Euro,6,Millions,,,15675,,
AUT,Austria,EXPORT_TRANSPORT,International passenger transport receipts,NAT,National currency,2008,2008,EUR,Euro,6,Millions,,,1836,,
AUT,Austria,EXPORT_TRANSPORT,International passenger transport receipts,NAT,National currency,2009,2009,EUR,Euro,6,Millions,,,1479,,
AUT,Austria,EXPORT_TRANSPORT,International passenger transport receipts,NAT,National currency,2010,2010,EUR,Euro,6,Millions,,,1678,,
AUT,Austria,EXPORT_TRANSPORT,International passenger transport receipts,NAT,National currency,2011,2011,EUR,Euro,6,Millions,,,1920,,
AUT,Austria,EXPORT_TRANSPORT,International passenger transport receipts,NAT,National currency,2012,2012,EUR,Euro,6,Millions,,,1955,,
