COUNTRY,Country,VARIABLE,Variable,YEAR,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
AUT,Austria,GBR,United Kingdom,2011,2011,NBR,Number,0,Units,,,709209,,
AUT,Austria,GBR,United Kingdom,2012,2012,NBR,Number,0,Units,,,740972,,
AUT,Austria,GBR,United Kingdom,2013,2013,NBR,Number,0,Units,,,774117,,
AUT,Austria,GBR,United Kingdom,2014,2014,NBR,Number,0,Units,,,802552,,
AUT,Austria,ITA,Italy,2008,2008,NBR,Number,0,Units,,,1033306,,
AUT,Austria,ITA,Italy,2009,2009,NBR,Number,0,Units,,,1056488,,
AUT,Austria,ITA,Italy,2010,2010,NBR,Number,0,Units,,,1067721,,
AUT,Austria,ITA,Italy,2011,2011,NBR,Number,0,Units,,,1086957,,
AUT,Austria,ITA,Italy,2012,2012,NBR,Number,0,Units,,,1060105,,
AUT,Austria,ITA,Italy,2013,2013,NBR,Number,0,Units,,,1023530,,
AUT,Austria,ITA,Italy,2014,2014,NBR,Number,0,Units,,,1051490,,
AUT,Austria,NLD,Netherlands,2008,2008,NBR,Number,0,Units,,,1650134,,
AUT,Austria,NLD,Netherlands,2009,2009,NBR,Number,0,Units,,,1654959,,
AUT,Austria,NLD,Netherlands,2010,2010,NBR,Number,0,Units,,,1617692,,
AUT,Austria,NLD,Netherlands,2011,2011,NBR,Number,0,Units,,,1644620,,
AUT,Austria,NLD,Netherlands,2012,2012,NBR,Number,0,Units,,,1714513,,
AUT,Austria,NLD,Netherlands,2013,2013,NBR,Number,0,Units,,,1673536,,
AUT,Austria,NLD,Netherlands,2014,2014,NBR,Number,0,Units,,,1671581,,
CAN,Canada,INB_ARRIVALS_TOTAL,Total international arrivals,2008,2008,NBR,Number,0,Units,,,27370000,,
CAN,Canada,INB_ARRIVALS_TOTAL,Total international arrivals,2009,2009,NBR,Number,0,Units,,,24696000,,
CAN,Canada,INB_ARRIVALS_TOTAL,Total international arrivals,2010,2010,NBR,Number,0,Units,,,25621000,,
CAN,Canada,INB_ARRIVALS_TOTAL,Total international arrivals,2011,2011,NBR,Number,0,Units,,,25065000,,
CAN,Canada,INB_ARRIVALS_TOTAL,Total international arrivals,2012,2012,NBR,Number,0,Units,,,25318000,,
CAN,Canada,INB_ARRIVALS_TOTAL,Total international arrivals,2013,2013,NBR,Number,0,Units,,,25167000,,
CAN,Canada,INB_ARRIVALS_TOTAL,Total international arrivals,2014,2014,NBR,Number,0,Units,,,25558000,,
CAN,Canada,INB_ARRIVALS_SAME_DAY,Same-day visitors (excursionists),2008,2008,NBR,Number,0,Units,,,10373000,,
CAN,Canada,INB_ARRIVALS_SAME_DAY,Same-day visitors (excursionists),2009,2009,NBR,Number,0,Units,,,8959000,,
CAN,Canada,INB_ARRIVALS_SAME_DAY,Same-day visitors (excursionists),2010,2010,NBR,Number,0,Units,,,9402000,,
CAN,Canada,INB_ARRIVALS_SAME_DAY,Same-day visitors (excursionists),2011,2011,NBR,Number,0,Units,,,9050000,,
CAN,Canada,INB_ARRIVALS_SAME_DAY,Same-day visitors (excursionists),2012,2012,NBR,Number,0,Units,,,8974000,,
CAN,Canada,INB_ARRIVALS_SAME_DAY,Same-day visitors (excursionists),2013,2013,NBR,Number,0,Units,,,9108000,,
CAN,Canada,INB_ARRIVALS_SAME_DAY,Same-day visitors (excursionists),2014,2014,NBR,Number,0,Units,,,9021000,,
CAN,Canada,DEU,Germany,2008,2008,NBR,Number,0,Units,,,315000,,
CAN,Canada,DEU,Germany,2009,2009,NBR,Number,0,Units,,,292000,,
CAN,Canada,DEU,Germany,2010,2010,NBR,Number,0,Units,,,316000,,
CAN,Canada,DEU,Germany,2011,2011,NBR,Number,0,Units,,,290000,,
CAN,Canada,DEU,Germany,2012,2012,NBR,Number,0,Units,,,277000,,
CAN,Canada,DEU,Germany,2013,2013,NBR,Number,0,Units,,,313000,,
CAN,Canada,DEU,Germany,2014,2014,NBR,Number,0,Units,,,324000,,
CAN,Canada,FRA,France,2008,2008,NBR,Number,0,Units,,,405000,,
CAN,Canada,FRA,France,2009,2009,NBR,Number,0,Units,,,389000,,
CAN,Canada,FRA,France,2010,2010,NBR,Number,0,Units,,,408000,,
CAN,Canada,FRA,France,2011,2011,NBR,Number,0,Units,,,422000,,
CAN,Canada,FRA,France,2012,2012,NBR,Number,0,Units,,,423000,,
CAN,Canada,FRA,France,2013,2013,NBR,Number,0,Units,,,452000,,
CAN,Canada,FRA,France,2014,2014,NBR,Number,0,Units,,,465000,,
CAN,Canada,GBR,United Kingdom,2008,2008,NBR,Number,0,Units,,,837000,,
CAN,Canada,GBR,United Kingdom,2009,2009,NBR,Number,0,Units,,,686000,,
CAN,Canada,GBR,United Kingdom,2010,2010,NBR,Number,0,Units,,,661000,,
CAN,Canada,GBR,United Kingdom,2011,2011,NBR,Number,0,Units,,,623000,,
CAN,Canada,GBR,United Kingdom,2012,2012,NBR,Number,0,Units,,,597000,,
CAN,Canada,GBR,United Kingdom,2013,2013,NBR,Number,0,Units,,,609000,,
CAN,Canada,GBR,United Kingdom,2014,2014,NBR,Number,0,Units,,,659000,,
CAN,Canada,JPN,Japan,2008,2008,NBR,Number,0,Units,,,259000,,
CAN,Canada,JPN,Japan,2009,2009,NBR,Number,0,Units,,,180000,,
CAN,Canada,JPN,Japan,2010,2010,NBR,Number,0,Units,,,215000,,
CAN,Canada,JPN,Japan,2011,2011,NBR,Number,0,Units,,,186000,,
CAN,Canada,JPN,Japan,2012,2012,NBR,Number,0,Units,,,190000,,
CAN,Canada,JPN,Japan,2013,2013,NBR,Number,0,Units,,,221000,,
CAN,Canada,JPN,Japan,2014,2014,NBR,Number,0,Units,,,262000,,
CAN,Canada,USA,United States,2008,2008,NBR,Number,0,Units,,,12503000,,
CAN,Canada,USA,United States,2009,2009,NBR,Number,0,Units,,,11667000,,
CAN,Canada,USA,United States,2010,2010,NBR,Number,0,Units,,,11871000,,
CAN,Canada,USA,United States,2011,2011,NBR,Number,0,Units,,,11597000,,
CAN,Canada,USA,United States,2012,2012,NBR,Number,0,Units,,,11887000,,
CAN,Canada,USA,United States,2013,2013,NBR,Number,0,Units,,,11466000,,
CAN,Canada,USA,United States,2014,2014,NBR,Number,0,Units,,,11508000,,
CZE,Czech Republic,INB_ARRIVALS_TOTAL,Total international arrivals,2008,2008,NBR,Number,0,Units,,,26628142,,
CZE,Czech Republic,INB_ARRIVALS_TOTAL,Total international arrivals,2009,2009,NBR,Number,0,Units,,,23285335,,
CZE,Czech Republic,INB_ARRIVALS_TOTAL,Total international arrivals,2010,2010,NBR,Number,0,Units,,,21941385,,
CZE,Czech Republic,INB_ARRIVALS_TOTAL,Total international arrivals,2011,2011,NBR,Number,0,Units,,,22810288,,
CZE,Czech Republic,INB_ARRIVALS_TOTAL,Total international arrivals,2012,2012,NBR,Number,0,Units,,,25749657,,
CZE,Czech Republic,INB_ARRIVALS_TOTAL,Total international arrivals,2013,2013,NBR,Number,0,Units,,,26331541,P,Provisional value
CZE,Czech Republic,INB_ARRIVALS_TOTAL,Total international arrivals,2014,2014,NBR,Number,0,Units,,,27329383,E,Estimated value
CZE,Czech Republic,INB_ARRIVALS_SAME_DAY,Same-day visitors (excursionists),2008,2008,NBR,Number,0,Units,,,16509448,,
CZE,Czech Republic,INB_ARRIVALS_SAME_DAY,Same-day visitors (excursionists),2009,2009,NBR,Number,0,Units,,,14436908,,
CZE,Czech Republic,INB_ARRIVALS_SAME_DAY,Same-day visitors (excursionists),2010,2010,NBR,Number,0,Units,,,13312398,,
CZE,Czech Republic,INB_ARRIVALS_SAME_DAY,Same-day visitors (excursionists),2011,2011,NBR,Number,0,Units,,,13791725,,
CZE,Czech Republic,INB_ARRIVALS_SAME_DAY,Same-day visitors (excursionists),2012,2012,NBR,Number,0,Units,,,15626716,,
CZE,Czech Republic,INB_ARRIVALS_SAME_DAY,Same-day visitors (excursionists),2013,2013,NBR,Number,0,Units,,,16031753,P,Provisional value
CZE,Czech Republic,INB_ARRIVALS_SAME_DAY,Same-day visitors (excursionists),2014,2014,NBR,Number,0,Units,,,16620671,E,Estimated value
DNK,Denmark,INB_ARRIVALS_TOTAL,Total international arrivals,2008,2008,NBR,Number,0,Units,,,25854545,E,Estimated value
DNK,Denmark,INB_ARRIVALS_TOTAL,Total international arrivals,2009,2009,NBR,Number,0,Units,,,25519879,E,Estimated value
DNK,Denmark,INB_ARRIVALS_TOTAL,Total international arrivals,2010,2010,NBR,Number,0,Units,,,25587375,E,Estimated value
DNK,Denmark,INB_ARRIVALS_TOTAL,Total international arrivals,2011,2011,NBR,Number,0,Units,,,25844558,E; B,Estimated value; Break
DNK,Denmark,INB_ARRIVALS_TOTAL,Total international arrivals,2012,2012,NBR,Number,0,Units,,,25865893,E,Estimated value
DNK,Denmark,INB_ARRIVALS_TOTAL,Total international arrivals,2013,2013,NBR,Number,0,Units,,,25794782,E,Estimated value
DNK,Denmark,INB_ARRIVALS_TOTAL,Total international arrivals,2014,2014,NBR,Number,0,Units,,,27606965,E,Estimated value
DNK,Denmark,INB_ARRIVALS_SAME_DAY,Same-day visitors (excursionists),2008,2008,NBR,Number,0,Units,,,17340236,E,Estimated value
DNK,Denmark,INB_ARRIVALS_SAME_DAY,Same-day visitors (excursionists),2009,2009,NBR,Number,0,Units,,,17340236,E,Estimated value
DNK,Denmark,INB_ARRIVALS_SAME_DAY,Same-day visitors (excursionists),2010,2010,NBR,Number,0,Units,,,17340236,E,Estimated value
DNK,Denmark,INB_ARRIVALS_SAME_DAY,Same-day visitors (excursionists),2011,2011,NBR,Number,0,Units,,,17340236,E; B,Estimated value; Break
DNK,Denmark,INB_ARRIVALS_SAME_DAY,Same-day visitors (excursionists),2012,2012,NBR,Number,0,Units,,,17340236,E,Estimated value
DNK,Denmark,INB_ARRIVALS_SAME_DAY,Same-day visitors (excursionists),2013,2013,NBR,Number,0,Units,,,17340236,E,Estimated value
DNK,Denmark,INB_ARRIVALS_SAME_DAY,Same-day visitors (excursionists),2014,2014,NBR,Number,0,Units,,,17340236,E,Estimated value
DNK,Denmark,DEU,Germany,2008,2008,NBR,Number,0,Units,,,2408983,,
DNK,Denmark,DEU,Germany,2009,2009,NBR,Number,0,Units,,,2254589,,
DNK,Denmark,DEU,Germany,2010,2010,NBR,Number,0,Units,,,2221510,,
DNK,Denmark,DEU,Germany,2011,2011,NBR,Number,0,Units,,,2153707,B,Break
DNK,Denmark,DEU,Germany,2012,2012,NBR,Number,0,Units,,,2155936,,
DNK,Denmark,DEU,Germany,2013,2013,NBR,Number,0,Units,,,2065161,,
DNK,Denmark,DEU,Germany,2014,2014,NBR,Number,0,Units,,,2686544,,
DNK,Denmark,GBR,United Kingdom,2008,2008,NBR,Number,0,Units,,,643159,,
DNK,Denmark,GBR,United Kingdom,2009,2009,NBR,Number,0,Units,,,641756,,
DNK,Denmark,GBR,United Kingdom,2010,2010,NBR,Number,0,Units,,,649659,,
DNK,Denmark,GBR,United Kingdom,2011,2011,NBR,Number,0,Units,,,658053,B,Break
DNK,Denmark,GBR,United Kingdom,2012,2012,NBR,Number,0,Units,,,649868,,
DNK,Denmark,GBR,United Kingdom,2013,2013,NBR,Number,0,Units,,,667243,,
DNK,Denmark,GBR,United Kingdom,2014,2014,NBR,Number,0,Units,,,743548,,
DNK,Denmark,NLD,Netherlands,2008,2008,NBR,Number,0,Units,,,205000,,
DNK,Denmark,NLD,Netherlands,2009,2009,NBR,Number,0,Units,,,189926,,
DNK,Denmark,NLD,Netherlands,2010,2010,NBR,Number,0,Units,,,192452,,
DNK,Denmark,NLD,Netherlands,2011,2011,NBR,Number,0,Units,,,137826,B,Break
DNK,Denmark,NLD,Netherlands,2012,2012,NBR,Number,0,Units,,,125892,,
DNK,Denmark,NOR,Norway,2008,2008,NBR,Number,0,Units,,,1593594,,
DNK,Denmark,NOR,Norway,2009,2009,NBR,Number,0,Units,,,1548505,,
DNK,Denmark,NOR,Norway,2010,2010,NBR,Number,0,Units,,,1576936,,
DNK,Denmark,NOR,Norway,2011,2011,NBR,Number,0,Units,,,1478624,B,Break
DNK,Denmark,NOR,Norway,2012,2012,NBR,Number,0,Units,,,1478984,,
DNK,Denmark,NOR,Norway,2013,2013,NBR,Number,0,Units,,,1481109,,
DNK,Denmark,NOR,Norway,2014,2014,NBR,Number,0,Units,,,1786062,,
DNK,Denmark,SWE,Sweden,2008,2008,NBR,Number,0,Units,,,1362979,,
DNK,Denmark,SWE,Sweden,2009,2009,NBR,Number,0,Units,,,1204324,,
DNK,Denmark,SWE,Sweden,2010,2010,NBR,Number,0,Units,,,1266166,,
DNK,Denmark,SWE,Sweden,2011,2011,NBR,Number,0,Units,,,1176550,B,Break
DNK,Denmark,SWE,Sweden,2012,2012,NBR,Number,0,Units,,,1184213,,
DNK,Denmark,SWE,Sweden,2013,2013,NBR,Number,0,Units,,,1207267,,
DNK,Denmark,SWE,Sweden,2014,2014,NBR,Number,0,Units,,,1443306,,
FIN,Finland,INB_ARRIVALS_TOTAL,Total international arrivals,2008,2008,NBR,Number,0,Units,,,6072000,,
FIN,Finland,INB_ARRIVALS_TOTAL,Total international arrivals,2009,2009,NBR,Number,0,Units,,,5695000,,
FIN,Finland,INB_ARRIVALS_TOTAL,Total international arrivals,2010,2010,NBR,Number,0,Units,,,6182000,,
FIN,Finland,INB_ARRIVALS_TOTAL,Total international arrivals,2011,2011,NBR,Number,0,Units,,,7260000,,
FIN,Finland,INB_ARRIVALS_TOTAL,Total international arrivals,2012,2012,NBR,Number,0,Units,,,7636000,,
FIN,Finland,INB_ARRIVALS_TOTAL,Total international arrivals,2014,2014,NBR,Number,0,Units,,,7619000,,
FIN,Finland,INB_ARRIVALS_SAME_DAY,Same-day visitors (excursionists),2008,2008,NBR,Number,0,Units,,,2489000,,
FIN,Finland,INB_ARRIVALS_SAME_DAY,Same-day visitors (excursionists),2009,2009,NBR,Number,0,Units,,,2272000,,
FIN,Finland,INB_ARRIVALS_SAME_DAY,Same-day visitors (excursionists),2010,2010,NBR,Number,0,Units,,,2512000,,
FIN,Finland,INB_ARRIVALS_SAME_DAY,Same-day visitors (excursionists),2011,2011,NBR,Number,0,Units,,,3068000,,
FIN,Finland,INB_ARRIVALS_SAME_DAY,Same-day visitors (excursionists),2012,2012,NBR,Number,0,Units,,,3410000,,
FIN,Finland,INB_ARRIVALS_SAME_DAY,Same-day visitors (excursionists),2014,2014,NBR,Number,0,Units,,,3311200,,
FIN,Finland,DEU,Germany,2008,2008,NBR,Number,0,Units,,,376000,,
FIN,Finland,DEU,Germany,2009,2009,NBR,Number,0,Units,,,332000,,
FIN,Finland,DEU,Germany,2010,2010,NBR,Number,0,Units,,,363000,,
FIN,Finland,DEU,Germany,2011,2011,NBR,Number,0,Units,,,399000,,
FIN,Finland,DEU,Germany,2012,2012,NBR,Number,0,Units,,,342000,,
FIN,Finland,DEU,Germany,2014,2014,NBR,Number,0,Units,,,256000,,
FIN,Finland,EST,Estonia,2008,2008,NBR,Number,0,Units,,,522000,,
FIN,Finland,EST,Estonia,2009,2009,NBR,Number,0,Units,,,583000,,
FIN,Finland,EST,Estonia,2010,2010,NBR,Number,0,Units,,,561000,,
FIN,Finland,EST,Estonia,2011,2011,NBR,Number,0,Units,,,708000,,
FIN,Finland,EST,Estonia,2012,2012,NBR,Number,0,Units,,,758000,,
FIN,Finland,EST,Estonia,2014,2014,NBR,Number,0,Units,,,269700,,
FIN,Finland,GBR,United Kingdom,2008,2008,NBR,Number,0,Units,,,316000,,
FIN,Finland,GBR,United Kingdom,2009,2009,NBR,Number,0,Units,,,267000,,
FIN,Finland,GBR,United Kingdom,2010,2010,NBR,Number,0,Units,,,263000,,
